,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
27,30,208394_x_at,0.000434,6.17e-07,7.35,6.2361769,0.711,ESM1,endothelial cell specific molecule 1,11082
31,35,203421_at,0.000758,1.22e-06,7.0,5.5998388,0.626,TP53I11,tumor protein p53 inducible protein 11,9537
41,47,209301_at,0.00205,4.44e-06,6.36,4.3958428,0.647,CA2,carbonic anhydrase 2,760
46,54,213112_s_at,0.00211,5.26e-06,6.28,4.2355928,0.589,SQSTM1,sequestosome 1,8878
52,71,204105_s_at,0.00321,1.04e-05,5.96,3.5959973,0.587,NRCAM,neuronal cell adhesion molecule,4897
65,96,203215_s_at,0.00557,2.43e-05,5.56,2.7932265,0.558,MYO6,myosin VI,4646
67,98,212147_at,0.00571,2.54e-05,5.54,2.7505879,0.595,SMG5,"SMG5, nonsense mediated mRNA decay factor",23381
78,129,205309_at,0.01,5.85e-05,5.15,1.958755,0.55,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,27293
88,159,202007_at,0.0135,9.69e-05,4.93,1.4792359,0.65,NID1,nidogen 1,4811
91,181,212013_at,0.0151,0.000124,4.82,1.2459655,0.83,PXDN,peroxidasin,7837
92,188,210480_s_at,0.0167,0.000142,4.76,1.1162853,0.606,MYO6,myosin VI,4646
94,196,218169_at,0.0176,0.000155,4.72,1.030686,0.557,VAC14,"Vac14, PIKFYVE complex component",55697
100,241,219664_s_at,0.0273,0.000296,4.43,0.4168524,0.557,DECR2,"2,4-dienoyl-CoA reductase 2, peroxisomal",26063
101,248,204170_s_at,0.0275,0.000307,4.41,0.3819251,0.646,CKS2,CDC28 protein kinase regulatory subunit 2,1164
104,269,209502_s_at,0.0303,0.000367,4.33,0.2125783,0.516,BAIAP2,BAI1 associated protein 2,10458
110,299,205016_at,0.036,0.000485,4.21,-0.0509459,0.595,TGFA,transforming growth factor alpha,7039
