,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,210495_x_at,5.04e-19,3.97e-23,26.5,41.01593,1.14,FN1,fibronectin 1,2335
1,216442_x_at,5.04e-19,5.66e-23,26.2,40.71885,1.16,FN1,fibronectin 1,2335
2,211429_s_at,5.04e-19,6.779999999999999e-23,26.1,40.56752,1.34,SERPINA1,serpin family A member 1,5265
3,211719_x_at,6.07e-19,1.09e-22,25.6,40.17029,1.23,FN1,fibronectin 1,2335
4,212464_s_at,1.07e-18,2.4e-22,25.0,39.50211,1.3,FN1,fibronectin 1,2335
5,202833_s_at,2.15e-18,5.79e-22,24.3,38.74988,1.67,SERPINA1,serpin family A member 1,5265
6,207808_s_at,2.06e-16,6.48e-20,20.7,34.6103,0.982,PROS1,protein S (alpha),5627
7,203510_at,2.86e-16,1.03e-19,20.4,34.19772,0.914,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
8,202528_at,1.85e-14,7.46e-18,17.6,30.2826,0.881,GALE,UDP-galactose-4-epimerase,2582
9,203908_at,2.38e-14,1.07e-17,-17.4,29.95017,-1.1,SLC4A4,solute carrier family 4 member 4,8671
10,204328_at,4.24e-14,2.09e-17,17.0,29.32526,0.962,TMC6,transmembrane channel like 6,11322
11,204623_at,4.33e-14,2.38e-17,-16.9,29.20393,-1.86,TFF3,trefoil factor 3,7033
12,220723_s_at,4.33e-14,2.69e-17,-16.8,29.09034,-0.868,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
13,203256_at,4.33e-14,2.72e-17,16.8,29.08089,1.79,CDH3,cadherin 3,1001
14,214349_at,3.57e-13,2.4e-16,-15.6,27.03567,-1.36,,,
15,207789_s_at,6.75e-13,5e-16,-15.2,26.341,-0.817,DPP6,dipeptidyl peptidase like 6,1804
16,214735_at,6.75e-13,5.15e-16,-15.1,26.31382,-0.922,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
17,203780_at,1.15e-12,9.25e-16,14.8,25.75815,0.78,MPZL2,myelin protein zero like 2,10205
18,207415_at,2.84e-12,2.42e-15,-14.3,24.84129,-0.694,PLA2R1,phospholipase A2 receptor 1,22925
19,215692_s_at,4.53e-12,4.19e-15,-14.0,24.31925,-0.798,MPPED2,metallophosphoesterase domain containing 2,744
20,211564_s_at,4.53e-12,4.27e-15,14.0,24.29968,1.1,PDLIM4,PDZ and LIM domain 4,8572
21,201666_at,6.02e-12,5.94e-15,13.9,23.98388,0.82,TIMP1,TIMP metallopeptidase inhibitor 1,7076
22,204724_s_at,8.76e-12,9.04e-15,-13.6,23.58188,-1.53,COL9A3,collagen type IX alpha 3 chain,1299
23,218368_s_at,1.1e-11,1.19e-14,13.5,23.32098,0.837,TNFRSF12A,TNF receptor superfamily member 12A,51330
25,220724_at,2.07e-11,2.42e-14,-13.2,22.6381,-0.899,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
26,209324_s_at,2.16e-11,2.62e-14,-13.1,22.56099,-0.872,RGS16,regulator of G-protein signaling 16,6004
27,203355_s_at,2.17e-11,2.73e-14,13.1,22.5216,0.761,PSD3,pleckstrin and Sec7 domain containing 3,23362
28,218313_s_at,2.76e-11,3.59e-14,13.0,22.25695,0.803,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809
29,202826_at,2.93e-11,3.94e-14,12.9,22.16545,0.659,SPINT1,"serine peptidase inhibitor, Kunitz type 1",6692
30,204493_at,3.46e-11,4.82e-14,12.8,21.97219,0.83,BID,BH3 interacting domain death agonist,637
31,208949_s_at,6.36e-11,9.13e-14,12.5,21.35531,0.576,LGALS3,"lectin, galactoside binding soluble 3",3958
32,214175_x_at,9.58e-11,1.42e-13,12.3,20.92914,1.22,PDLIM4,PDZ and LIM domain 4,8572
33,203058_s_at,1e-10,1.53e-13,-12.3,20.85801,-0.83,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
34,209270_at,1.03e-10,1.62e-13,12.2,20.79994,0.979,LAMB3,laminin subunit beta 3,3914
35,203717_at,1.11e-10,1.79e-13,12.2,20.70357,1.25,DPP4,dipeptidyl peptidase 4,1803
37,205174_s_at,1.12e-10,1.91e-13,12.2,20.64206,1.08,QPCT,glutaminyl-peptide cyclotransferase,25797
38,206043_s_at,1.12e-10,1.96e-13,-12.2,20.61569,-0.651,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
39,203854_at,1.18e-10,2.13e-13,12.1,20.53703,0.698,CFI,complement factor I,3426
40,221447_s_at,2.1e-10,3.86e-13,-11.8,19.95857,-0.786,GLT8D2,glycosyltransferase 8 domain containing 2,83468
41,211478_s_at,2.22e-10,4.19e-13,11.8,19.87855,1.22,DPP4,dipeptidyl peptidase 4,1803
42,204124_at,2.41e-10,4.65e-13,11.8,19.77817,1.53,SLC34A2,solute carrier family 34 member 2,10568
43,204105_s_at,3.16e-10,6.25e-13,11.6,19.49064,0.719,NRCAM,neuronal cell adhesion molecule,4897
44,202609_at,3.58e-10,7.37e-13,11.5,19.3302,0.631,EPS8,epidermal growth factor receptor pathway substrate 8,2059
45,208161_s_at,3.58e-10,7.38e-13,11.5,19.32851,1.07,ABCC3,ATP binding cassette subfamily C member 3,8714
47,203685_at,4.66e-10,1e-12,-11.4,19.02908,-0.596,BCL2,"BCL2, apoptosis regulator",596
48,202180_s_at,4.95e-10,1.09e-12,11.4,18.94974,0.572,MVP,major vault protein,9961
49,202286_s_at,5.67e-10,1.27e-12,11.3,18.7985,1.46,TACSTD2,tumor-associated calcium signal transducer 2,4070
50,202071_at,5.67e-10,1.3e-12,11.3,18.78011,0.74,SDC4,syndecan 4,6385
51,218613_at,7.46e-10,1.74e-12,11.2,18.49341,0.765,PSD3,pleckstrin and Sec7 domain containing 3,23362
52,205498_at,8.25e-10,1.96e-12,-11.1,18.3768,-0.561,GHR,growth hormone receptor,2690
53,211725_s_at,8.32e-10,2.02e-12,11.1,18.34956,0.689,BID,BH3 interacting domain death agonist,637
54,202350_s_at,8.42e-10,2.08e-12,-11.1,18.32084,-0.907,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
55,222294_s_at,1.73e-09,4.34e-12,10.8,17.60209,0.765,RAB27A,"RAB27A, member RAS oncogene family",5873
56,205413_at,1.88e-09,4.8e-12,-10.7,17.50392,-1.18,MPPED2,metallophosphoesterase domain containing 2,744
57,220204_s_at,1.93e-09,5.08e-12,-10.7,17.44775,-0.959,BMP8A,bone morphogenetic protein 8a,353500
58,210194_at,1.93e-09,5.11e-12,-10.7,17.44289,-0.582,PLA2R1,phospholipase A2 receptor 1,22925
60,200660_at,2.1e-09,5.75e-12,10.6,17.32695,0.558,S100A11,S100 calcium binding protein A11,6282
61,205612_at,2.3e-09,6.39e-12,-10.6,17.22293,-0.537,MMRN1,multimerin 1,22915
62,210400_at,2.78e-09,7.86e-12,-10.5,17.0206,-1.37,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,2905
