,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,212611_at,1.37e-06,2.51e-11,19.4,14.97869,2.34,DTX4,deltex E3 ubiquitin ligase 4,23220
1,1570289_at,2.11e-06,7.72e-11,-17.8,14.1702,-3.73,LOC646736,uncharacterized LOC646736,646736
2,229778_at,2.41e-06,1.32e-10,-17.1,13.76688,-4.05,SPX,spexin hormone,80763
3,214735_at,2.47e-06,1.9e-10,-16.6,13.49317,-3.5,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
4,206517_at,2.47e-06,2.38e-10,-16.4,13.31637,-3.94,CDH16,cadherin 16,1014
5,241898_at,2.47e-06,2.71e-10,16.2,13.21628,3.44,LIPH,lipase H,200879
6,207808_s_at,5.87e-06,7.52e-10,15.0,12.40589,2.29,PROS1,protein S (alpha),5627
7,205221_at,5.87e-06,8.77e-10,-14.8,12.28184,-2.95,HGD,"homogentisate 1,2-dioxygenase",3081
8,209469_at,5.87e-06,9.67e-10,-14.7,12.20188,-2.08,GPM6A,glycoprotein M6A,2823
9,209470_s_at,6.02e-06,1.19e-09,-14.4,12.02892,-3.07,GPM6A,glycoprotein M6A,2823
10,205016_at,6.02e-06,1.42e-09,14.2,11.88363,1.73,TGFA,transforming growth factor alpha,7039
11,1554748_at,6.02e-06,1.43e-09,-14.2,11.88146,-1.87,CLCNKB,chloride voltage-gated channel Kb,1188
12,235629_at,6.02e-06,1.49e-09,14.2,11.84455,3.38,,,
13,226213_at,6.02e-06,1.54e-09,14.2,11.81826,1.72,ERBB3,erb-b2 receptor tyrosine kinase 3,2065
14,210194_at,6.35e-06,1.74e-09,-14.0,11.71639,-2.43,PLA2R1,phospholipase A2 receptor 1,22925
15,218826_at,7.12e-06,2.08e-09,13.8,11.56698,1.53,SLC35F2,solute carrier family 35 member F2,54733
16,227760_at,8.82e-06,2.86e-09,-13.5,11.2996,-3.45,IGFBPL1,insulin like growth factor binding protein like 1,347252
17,239381_at,8.82e-06,2.9e-09,13.5,11.28832,4.48,KLK7,kallikrein related peptidase 7,5650
18,219735_s_at,1.182e-05,4.11e-09,-13.1,10.99388,-2.99,TFCP2L1,transcription factor CP2-like 1,29842
19,203908_at,1.901e-05,7.23e-09,-12.5,10.50695,-3.08,SLC4A4,solute carrier family 4 member 4,8671
20,241672_at,1.901e-05,7.3e-09,-12.5,10.49859,-2.5,SERTM1,serine rich and transmembrane domain containing 1,400120
21,203355_s_at,2.765e-05,1.16e-08,12.1,10.09798,1.98,PSD3,pleckstrin and Sec7 domain containing 3,23362
22,228579_at,2.765e-05,1.2e-08,12.0,10.06625,2.53,KCNQ3,potassium voltage-gated channel subfamily Q member 3,3786
23,202350_s_at,2.765e-05,1.21e-08,-12.0,10.05472,-2.36,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
24,206300_s_at,2.8e-05,1.3e-08,-12.0,9.99322,-1.74,PTHLH,parathyroid hormone like hormone,5744
25,232067_at,2.8e-05,1.34e-08,11.9,9.96817,1.53,FAXC,failed axon connections homolog,84553
26,220723_s_at,2.8e-05,1.38e-08,-11.9,9.93995,-3.24,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
27,227618_at,2.859e-05,1.51e-08,11.8,9.86341,1.77,NHSL2,NHS like 2,340527
28,216944_s_at,2.859e-05,1.52e-08,-11.8,9.85847,-2.08,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
29,230802_at,2.938e-05,1.71e-08,-11.7,9.75228,-1.23,ARHGAP24,Rho GTPase activating protein 24,83478
30,203717_at,2.938e-05,1.72e-08,11.7,9.74636,3.03,DPP4,dipeptidyl peptidase 4,1803
31,203786_s_at,2.938e-05,1.77e-08,11.7,9.72192,1.51,TPD52L1,tumor protein D52-like 1,7164
32,230673_at,2.938e-05,1.77e-08,-11.7,9.72007,-4.28,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,93035
33,228546_at,3.284e-05,2.04e-08,-11.5,9.59452,-2.95,DPP6,dipeptidyl peptidase like 6,1804
34,236038_at,3.395e-05,2.17e-08,-11.5,9.53923,-2.15,RNF150,ring finger protein 150,57484
35,227240_at,3.632e-05,2.39e-08,11.4,9.45377,3.33,NGEF,neuronal guanine nucleotide exchange factor,25791
36,227088_at,4.371e-05,2.96e-08,11.2,9.26354,2.06,PDE5A,phosphodiesterase 5A,8654
37,229032_at,4.696e-05,3.26e-08,-11.1,9.17509,-3.64,WSCD2,WSC domain containing 2,9671
38,208399_s_at,4.741e-05,3.47e-08,-11.1,9.11928,-3.63,EDN3,endothelin 3,1908
39,203710_at,4.741e-05,3.51e-08,-11.0,9.11062,-1.94,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
40,202528_at,4.741e-05,3.56e-08,11.0,9.09813,1.8,GALE,UDP-galactose-4-epimerase,2582
41,204623_at,4.815e-05,3.86e-08,-11.0,9.02367,-4.08,TFF3,trefoil factor 3,7033
42,200701_at,4.815e-05,3.89e-08,11.0,9.01652,1.45,NPC2,NPC intracellular cholesterol transporter 2,10577
43,235746_s_at,4.815e-05,3.99e-08,-10.9,8.9942,-3.42,PLA2R1,phospholipase A2 receptor 1,22925
44,221701_s_at,4.815e-05,4.03e-08,10.9,8.98579,3.84,STRA6,stimulated by retinoic acid 6,64220
45,205498_at,4.815e-05,4.05e-08,-10.9,8.98045,-1.68,GHR,growth hormone receptor,2690
46,224793_s_at,5.018e-05,4.31e-08,10.9,8.92357,1.16,TGFBR1,transforming growth factor beta receptor 1,7046
47,227221_at,5.687e-05,4.99e-08,10.7,8.79121,1.77,ZMAT3,zinc finger matrin-type 3,64393
48,220724_at,5.768e-05,5.24e-08,-10.7,8.7464,-2.01,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
49,222581_at,5.768e-05,5.33e-08,10.7,8.73131,1.22,XPR1,xenotropic and polytropic retrovirus receptor 1,9213
50,204124_at,5.768e-05,5.51e-08,10.6,8.7014,4.14,SLC34A2,solute carrier family 34 member 2,10568
51,225575_at,5.768e-05,5.56e-08,-10.6,8.69291,-2.51,LIFR,leukemia inhibitory factor receptor alpha,3977
52,202833_s_at,5.768e-05,5.64e-08,10.6,8.6801,3.78,SERPINA1,serpin family A member 1,5265
53,207789_s_at,5.768e-05,5.7e-08,-10.6,8.67135,-1.67,DPP6,dipeptidyl peptidase like 6,1804
54,228973_at,6.617e-05,6.66e-08,-10.5,8.52951,-2.13,DLG2,discs large MAGUK scaffold protein 2,1740
55,214044_at,6.922e-05,7.09e-08,-10.4,8.47192,-2.38,RYR2,ryanodine receptor 2,6262
56,207981_s_at,7.362e-05,7.98e-08,-10.3,8.36349,-2.14,ESRRG,estrogen related receptor gamma,2104
57,226237_at,7.362e-05,8.06e-08,10.3,8.3551,1.48,COL8A1,collagen type VIII alpha 1 chain,1295
58,243580_at,7.362e-05,8.07e-08,-10.3,8.3539,-1.99,GNA14,G protein subunit alpha 14,9630
59,203911_at,7.362e-05,8.15e-08,-10.3,8.3446,-1.85,RAP1GAP,RAP1 GTPase activating protein,5909
60,205413_at,7.362e-05,8.24e-08,-10.3,8.33451,-3.53,MPPED2,metallophosphoesterase domain containing 2,744
61,231358_at,7.362e-05,8.35e-08,-10.3,8.32239,-2.43,MRO,maestro,83876
62,37408_at,7.507e-05,8.65e-08,10.3,8.28984,2.0,MRC2,mannose receptor C type 2,9902
63,203256_at,7.691e-05,9e-08,10.2,8.25307,2.91,CDH3,cadherin 3,1001
64,236081_at,9.091e-05,1.08e-07,-10.1,8.08512,-1.13,SNCA,synuclein alpha,6622
65,205876_at,9.603e-05,1.16e-07,-10.0,8.02056,-2.15,LIFR,leukemia inhibitory factor receptor alpha,3977
66,219077_s_at,9.906e-05,1.23e-07,-9.97,7.96868,-1.53,WWOX,WW domain containing oxidoreductase,51741
