,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
3,3,204256_at,7.87e-08,6.66e-12,11.003673,17.063529,3.05462048,ELOVL6,ELOVL fatty acid elongase 6,79071
4,4,219208_at,7.87e-08,8.17e-12,10.909123,16.871283,1.74605544,FBXO11,F-box protein 11,80204
6,6,203971_at,7.87e-08,1.02e-11,10.808189,16.664696,1.87965334,SLC31A1,solute carrier family 31 member 1,1317
7,7,206273_at,7.87e-08,1.15e-11,10.751124,16.547275,0.8810155,PRELID3A,PRELI domain containing 3A,10650
10,10,201521_s_at,8.77e-08,1.84e-11,10.538564,16.105898,1.55179849,NCBP2,nuclear cap binding protein subunit 2,22916
11,11,39549_at,8.77e-08,1.93e-11,10.517635,16.062097,1.9642612,NPAS2,neuronal PAS domain protein 2,4862
12,12,201512_s_at,9.62e-08,2.5e-11,10.400642,15.816116,1.34684793,TOMM70,translocase of outer mitochondrial membrane 70,9868
13,13,203755_at,9.62e-08,2.55e-11,10.39031,15.794299,3.7858949,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,701
15,15,208864_s_at,9.62e-08,2.99e-11,10.319365,15.644092,1.0888075,TXN,thioredoxin,7295
19,19,238756_at,9.62e-08,3.52e-11,10.247234,15.490643,2.73449739,GAS2L3,growth arrest specific 2 like 3,283431
20,20,201669_s_at,1.04e-07,4.01e-11,10.189703,15.367724,1.50018715,MARCKS,myristoylated alanine rich protein kinase C substrate,4082
21,21,201577_at,1.17e-07,4.71e-11,10.118062,15.213998,1.77816092,NME1,NME/NM23 nucleoside diphosphate kinase 1,4830
24,24,204170_s_at,1.21e-07,6.08e-11,10.006018,14.972112,3.19699564,CKS2,CDC28 protein kinase regulatory subunit 2,1164
25,25,201573_s_at,1.21e-07,6.32e-11,9.988453,14.934027,0.95608976,ETF1,eukaryotic translation termination factor 1,2107
28,28,242560_at,1.21e-07,6.7e-11,9.963052,14.878877,2.9898191,FANCD2,Fanconi anemia complementation group D2,2177
29,29,230255_at,1.21e-07,6.7e-11,9.962868,14.878478,0.88693181,GABRD,gamma-aminobutyric acid type A receptor delta subunit,2563
30,30,223397_s_at,1.21e-07,6.92e-11,9.949222,14.848811,1.58261254,NIP7,"NIP7, nucleolar pre-rRNA processing protein",51388
