,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7,7,204623_at,6.6599999999999995e-28,9.75e-32,-24.4072761,61.82598,-5.97231547,TFF3,trefoil factor 3
10,10,219529_at,5.81e-27,1.17e-30,-23.2594665,59.417076,-6.30719749,CLIC3,chloride intracellular channel 3
12,12,210342_s_at,1.62e-26,3.86e-30,-22.72367,58.256023,-7.33821316,TPO,thyroid peroxidase
13,13,232424_at,1.89e-26,4.83e-30,-22.6239285,58.037227,-5.24620169,PRDM16,PR/SET domain 16
14,14,235561_at,3.3200000000000004e-26,9.100000000000001e-30,-22.3452767,57.421467,-5.16686717,TXNL1,thioredoxin like 1
19,19,1557107_at,1.35e-25,4.95e-29,-21.6117764,55.768214,-5.99378412,SLC26A4-AS1,SLC26A4 antisense RNA 1
21,21,239183_at,2.28e-25,9.17e-29,-21.3501907,55.166987,-3.80713674,ANGPTL1,angiopoietin like 1
22,22,230351_at,2.73e-25,1.15e-28,-21.2549907,54.94663,-3.02912183,FGF14-AS2,FGF14 antisense RNA 2
26,26,227081_at,1.52e-24,7.51e-28,-20.4751288,53.109673,-3.92604596,DNALI1,dynein axonemal light intermediate chain 1
28,28,219727_at,2.0000000000000002e-24,1.1300000000000002e-27,-20.3086295,52.709989,-5.75435647,DUOX2,dual oxidase 2
29,29,201562_s_at,2.0000000000000002e-24,1.1300000000000002e-27,-20.3081886,52.708927,-3.58934907,SORD,sorbitol dehydrogenase
34,34,229177_at,2.1999999999999996e-24,1.41e-27,-20.2183499,52.492147,-5.61560198,C16orf89,chromosome 16 open reading frame 89
35,35,213540_at,2.98e-24,1.96e-27,-20.0851402,52.16926,-2.26810146,HSD17B8,hydroxysteroid 17-beta dehydrogenase 8
38,38,229778_at,3.85e-24,2.78e-27,-19.9442039,51.825742,-5.46585481,SPX,spexin hormone
40,40,223075_s_at,4.1699999999999996e-24,3.1200000000000003e-27,-19.8975009,51.711474,-5.01630784,AIF1L,allograft inflammatory factor 1 like
43,43,223623_at,4.98e-24,4.01e-27,-19.7980177,51.467346,-6.52896268,C2orf40,chromosome 2 open reading frame 40
46,46,210039_s_at,9.53e-24,8.190000000000001e-27,-19.514078,50.765102,-2.59628898,PRKCQ,protein kinase C theta
47,47,235955_at,1.56e-23,1.38e-26,-19.309557,50.254208,-3.10474208,MARVELD2,MARVEL domain containing 2
49,49,244008_at,1.6000000000000002e-23,1.4600000000000002e-26,-19.2868577,50.197241,-2.9647267,PARP8,poly(ADP-ribose) polymerase family member 8
51,51,242883_at,2.07e-23,1.97e-26,-19.169441,49.901717,-3.70249389,OTOS,otospiralin
52,52,1554648_a_at,2.39e-23,2.31e-26,-19.107604,49.745508,-3.39440257,DUOXA1,dual oxidase maturation factor 1
53,53,230782_at,2.73e-23,2.7000000000000004e-26,-19.0478074,49.594074,-4.71644276,SORD,sorbitol dehydrogenase
54,54,244572_at,2.94e-23,2.96e-26,-19.0122205,49.503774,-3.62128405,KY,kyphoscoliosis peptidase
55,55,205350_at,3.14e-23,3.22e-26,-18.9793204,49.420174,-4.57586726,CRABP1,cellular retinoic acid binding protein 1
56,56,209368_at,3.38e-23,3.5400000000000003e-26,-18.9430128,49.327784,-3.19883389,EPHX2,epoxide hydrolase 2
58,58,214735_at,3.44e-23,3.72e-26,-18.9237317,49.278664,-4.48194541,IPCEF1,interaction protein for cytohesin exchange factors 1
59,59,229168_at,3.72e-23,4.08e-26,-18.887594,49.186495,-3.64508222,COL23A1,collagen type XXIII alpha 1 chain
61,61,203685_at,4.65e-23,5.29e-26,-18.7881935,48.932266,-3.79649678,BCL2,"BCL2, apoptosis regulator"
63,63,229032_at,4.65e-23,5.440000000000001e-26,-18.7769428,48.903426,-3.6486721,WSCD2,WSC domain containing 2
64,64,229636_at,4.85e-23,5.77e-26,-18.754749,48.846493,-1.80826884,CYB561D2,cytochrome b561 family member D2
65,65,209355_s_at,5.99e-23,7.23e-26,-18.6682211,48.624029,-4.15626523,PLPP3,phospholipid phosphatase 3
66,66,229687_s_at,7.42e-23,9.1e-26,-18.5805603,48.397839,-3.72989046,PRDM11,PR/SET domain 11
68,68,205221_at,9.15e-23,1.15e-25,-18.4898722,48.162971,-3.99249901,HGD,"homogentisate 1,2-dioxygenase"
70,70,239598_s_at,9.53e-23,1.24e-25,-18.4634565,48.094393,-2.71972867,LPCAT2,lysophosphatidylcholine acyltransferase 2
71,71,209469_at,1.46e-22,1.92e-25,-18.2978222,47.662667,-4.82028474,GPM6A,glycoprotein M6A
72,72,209470_s_at,1.52e-22,2.03e-25,-18.2762876,47.606319,-4.69022284,GPM6A,glycoprotein M6A
73,73,230281_at,1.53e-22,2.07e-25,-18.269859,47.589488,-2.82615625,C16orf46,chromosome 16 open reading frame 46
77,77,205413_at,2.18e-22,3.14e-25,-18.1133474,47.178323,-5.72634176,MPPED2,metallophosphoesterase domain containing 2
81,81,204753_s_at,2.28e-22,3.43e-25,-18.0803854,47.091388,-4.27303428,HLF,"HLF, PAR bZIP transcription factor"
82,82,212226_s_at,2.58e-22,3.91e-25,-18.0306006,46.959857,-3.49878339,PLPP3,phospholipid phosphatase 3
87,87,211276_at,4.8e-22,7.73e-25,-17.7781699,46.288719,-4.88763028,TCEAL2,transcription elongation factor A like 2
88,88,203029_s_at,4.95e-22,8.07e-25,-17.7625879,46.247058,-3.14986459,PTPRN2,"protein tyrosine phosphatase, receptor type N2"
89,89,242028_at,5.66e-22,9.31e-25,-17.7096623,46.105353,-2.55333706,ZNF709,zinc finger protein 709
90,90,218332_at,5.69e-22,9.53e-25,-17.701291,46.082911,-4.65254332,BEX1,brain expressed X-linked 1
92,92,238584_at,6.15e-22,1.05e-24,-17.6661923,45.98873,-3.92736076,IQCA1,IQ motif containing with AAA domain 1
93,93,220108_at,6.15e-22,1.06e-24,-17.6629179,45.979936,-3.73199608,GNA14,G protein subunit alpha 14
94,94,230863_at,6.51e-22,1.1399999999999999e-24,-17.636011,45.907633,-5.11276869,LRP2,LDL receptor related protein 2
97,97,212230_at,1.13e-21,2.0299999999999998e-24,-17.4237259,45.33432,-3.26559022,PLPP3,phospholipid phosphatase 3
99,99,204754_at,1.16e-21,2.12e-24,-17.4091428,45.294748,-3.48139324,HLF,"HLF, PAR bZIP transcription factor"
103,103,219368_at,1.65e-21,3.15e-24,-17.2652402,44.902962,-3.45085012,NAP1L2,nucleosome assembly protein 1 like 2
104,104,224339_s_at,1.82e-21,3.49e-24,-17.2282824,44.801959,-3.62634861,ANGPTL1,angiopoietin like 1
106,106,210038_at,1.94e-21,3.7999999999999995e-24,-17.1973669,44.717348,-2.72131269,PRKCQ,protein kinase C theta
107,107,222901_s_at,1.94e-21,3.84e-24,-17.193832,44.707667,-3.44827948,KCNJ16,potassium voltage-gated channel subfamily J member 16
108,108,239765_at,2.08e-21,4.15e-24,-17.1651296,44.629003,-3.40231297,CPEB3,cytoplasmic polyadenylation element binding protein 3
113,113,206529_x_at,3.01e-21,6.2699999999999995e-24,-17.0171712,44.221989,-6.34653248,SLC26A4,solute carrier family 26 member 4
114,114,201563_at,3.0900000000000007e-21,6.4899999999999996e-24,-17.0046943,44.187551,-3.71225911,SORD,sorbitol dehydrogenase
116,116,228806_at,3.3100000000000007e-21,7.079999999999999e-24,-16.9739543,44.102626,-3.41794703,RORC,RAR related orphan receptor C
117,117,237058_x_at,3.3100000000000007e-21,7.15e-24,-16.970112,44.092003,-4.3862151,SLC6A13,solute carrier family 6 member 13
118,118,218865_at,3.82e-21,8.31e-24,-16.9166914,43.944134,-3.13505199,MARC1,mitochondrial amidoxime reducing component 1
120,120,240574_at,4.03e-21,8.92e-24,-16.8914029,43.874019,-2.90502817,DNAJC3-AS1,DNAJC3 antisense RNA 1 (head to head)
121,121,227889_at,4.27e-21,9.52e-24,-16.868085,43.809301,-3.44473438,LPCAT2,lysophosphatidylcholine acyltransferase 2
124,124,1560834_a_at,5.190000000000001e-21,1.19e-23,-16.7894919,43.590701,-2.84133156,RMST,rhabdomyosarcoma 2 associated transcript (non-protein coding)
125,125,1570289_at,5.190000000000001e-21,1.1999999999999998e-23,-16.7871968,43.584307,-4.14162827,LOC646736,uncharacterized LOC646736
