,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,0,205350_at,6e-06,3.91e-10,-30.0,12.47252,-1.56,CRABP1,cellular retinoic acid binding protein 1
1,1,210400_at,6e-06,5.38e-10,-28.9,12.28677,-1.55,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C
2,2,204623_at,8.55e-06,1.15e-09,-26.5,11.8212,-2.04,TFF3,trefoil factor 3
3,3,205413_at,1.231e-05,2.21e-09,-24.5,11.39313,-1.41,MPPED2,metallophosphoesterase domain containing 2
4,4,203685_at,1.455e-05,3.26e-09,-23.5,11.12446,-1.1,BCL2,"BCL2, apoptosis regulator"
5,5,204932_at,4.393e-05,1.18e-08,-20.2,10.17647,-1.14,TNFRSF11B,TNF receptor superfamily member 11b
6,6,213447_at,9.88e-05,3.47e-08,-17.8,9.3161,-1.06,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
7,7,203911_at,9.88e-05,3.8e-08,-17.6,9.2414,-1.1,RAP1GAP,RAP1 GTPase activating protein
8,8,208399_s_at,9.88e-05,4.16e-08,-17.4,9.16505,-0.976,EDN3,endothelin 3
9,9,210078_s_at,9.88e-05,4.7e-08,-17.2,9.06341,-0.93,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1
10,10,219195_at,9.88e-05,5.38e-08,-16.9,8.94818,-0.933,PPARGC1A,PPARG coactivator 1 alpha
11,11,221974_at,9.88e-05,5.55e-08,-16.9,8.9227,-1.14,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
12,12,206457_s_at,9.88e-05,5.76e-08,-16.8,8.89027,-1.73,DIO1,"deiodinase, iodothyronine type I"
13,13,206893_at,9.969e-05,6.26e-08,-16.6,8.81945,-1.08,SALL1,spalt like transcription factor 1
14,14,215692_s_at,0.00010578,7.12e-08,-16.4,8.70957,-0.998,MPPED2,metallophosphoesterase domain containing 2
15,15,214307_at,0.00010681,7.67e-08,-16.2,8.64565,-0.882,HGD,"homogentisate 1,2-dioxygenase"
16,16,211276_at,0.00013378,1.02e-07,-15.7,8.39738,-1.27,TCEAL2,transcription elongation factor A like 2
17,17,203639_s_at,0.0001371,1.15e-07,-15.5,8.2964,-1.4,FGFR2,fibroblast growth factor receptor 2
18,18,213900_at,0.0001371,1.17e-07,-15.5,8.27832,-1.03,FAM189A2,family with sequence similarity 189 member A2
19,19,210342_s_at,0.00014427,1.36e-07,-15.2,8.14774,-2.1,TPO,thyroid peroxidase
20,20,204085_s_at,0.00014427,1.45e-07,-15.1,8.08833,-0.851,CLN5,"ceroid-lipofuscinosis, neuronal 5"
22,22,201522_x_at,0.00014427,1.49e-07,-15.0,8.06402,-0.831,SNURF///SNRPN,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
23,23,204933_s_at,0.00015014,1.62e-07,-14.9,7.99054,-1.21,TNFRSF11B,TNF receptor superfamily member 11b
24,24,201562_s_at,0.00015104,1.76e-07,-14.7,7.91591,-1.21,SORD,sorbitol dehydrogenase
25,25,203980_at,0.00015104,1.76e-07,-14.7,7.91355,-1.45,FABP4,fatty acid binding protein 4
27,27,219949_at,0.00025667,3.23e-07,-13.7,7.3649,-0.863,LRRC2,leucine rich repeat containing 2
28,28,206042_x_at,0.00025933,3.42e-07,-13.6,7.31025,-0.993,SNURF///SNRPN,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
30,30,206068_s_at,0.00025933,3.61e-07,-13.5,7.26168,-0.841,ACADL,"acyl-CoA dehydrogenase, long chain"
32,32,205710_at,0.00026439,4.01e-07,-13.4,7.16296,-1.14,LRP2,LDL receptor related protein 2
34,34,214157_at,0.00027665,4.37e-07,-13.2,7.08413,-0.955,GNAS,GNAS complex locus
35,35,213737_x_at,0.00027665,4.63e-07,-13.1,7.03075,-0.961,GOLGA8N,golgin A8 family member N
36,36,219727_at,0.00027665,4.69e-07,-13.1,7.01808,-1.63,DUOX2,dual oxidase 2
39,39,218332_at,0.00029542,5.39e-07,-12.9,6.88872,-1.19,BEX1,brain expressed X-linked 1
41,41,214252_s_at,0.00029542,5.57e-07,-12.8,6.8581,-0.855,CLN5,"ceroid-lipofuscinosis, neuronal 5"
