,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
1,1,242881_x_at,2.03e-31,7.41e-36,29.2385688,70.926351,5.42333445,DUXAP10,double homeobox A pseudogene 10
2,2,205499_at,5.03e-31,3.5400000000000004e-35,28.3899134,69.438323,4.37474464,SRPX2,"sushi repeat containing protein, X-linked 2"
4,4,209955_s_at,7.87e-29,7.2e-33,25.6613339,64.342326,4.07962802,FAP,fibroblast activation protein alpha
5,5,1555778_a_at,1.21e-28,1.33e-32,25.3603222,63.748901,5.91262502,POSTN,periostin
6,6,212012_at,3.4000000000000005e-28,4.36e-32,24.789322,62.604991,3.46643666,PXDN,peroxidasin
8,8,221729_at,2.7e-27,4.45e-31,23.7006789,60.355454,3.58885892,COL5A2,collagen type V alpha 2 chain
9,9,209380_s_at,5.08e-27,9.29e-31,23.363877,59.640566,1.73096774,ABCC5,ATP binding cassette subfamily C member 5
16,16,214702_at,3.93e-26,1.2200000000000001e-29,22.2164512,57.134529,5.2371489,FN1,fibronectin 1
17,17,226777_at,4.56e-26,1.4999999999999998e-29,22.1267063,56.933782,4.83346069,ADAM12,ADAM metallopeptidase domain 12
18,18,225681_at,4.73e-26,1.64e-29,22.0873638,56.845556,4.69820084,CTHRC1,collagen triple helix repeat containing 1
20,20,226997_at,2.28e-25,8.98e-29,21.3590879,55.187539,2.8522242,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12
23,23,202952_s_at,9.85e-25,4.32e-28,20.7021236,53.650284,3.41190845,ADAM12,ADAM metallopeptidase domain 12
24,24,213943_at,1.05e-24,4.79e-28,20.6598016,53.549863,3.77214526,TWIST1,twist family bHLH transcription factor 1
27,27,225878_at,1.92e-24,9.82e-28,20.365438,52.84666,1.75102854,KIF1B,kinesin family member 1B
30,30,211571_s_at,2.0000000000000002e-24,1.16e-27,20.2979375,52.684231,4.52568011,VCAN,versican
31,31,214701_s_at,2.0000000000000002e-24,1.17e-27,20.292522,52.67118,4.27949366,FN1,fibronectin 1
32,32,221730_at,2.0000000000000002e-24,1.25e-27,20.268512,52.613285,3.69950007,COL5A2,collagen type V alpha 2 chain
33,33,204620_s_at,2.0000000000000002e-24,1.25e-27,20.268357,52.612911,4.32432747,VCAN,versican
36,36,204619_s_at,3.6499999999999996e-24,2.47e-27,19.9916508,51.941608,4.47428236,VCAN,versican
37,37,215646_s_at,3.7999999999999995e-24,2.64e-27,19.9648453,51.876176,4.8353757,VCAN,versican
39,39,202998_s_at,3.85e-24,2.82e-27,19.9385838,51.812003,4.0736203,LOXL2,lysyl oxidase like 2
41,41,232458_at,4.41e-24,3.39e-27,19.8650481,51.631945,4.98204856,COL3A1,collagen type III alpha 1 chain
42,42,226311_at,4.62e-24,3.6300000000000006e-27,19.8374701,51.564279,3.71260534,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
44,44,210809_s_at,5.98e-24,4.92e-27,19.7158723,51.265018,5.37759779,POSTN,periostin
45,45,206025_s_at,6.75e-24,5.6800000000000006e-27,19.6593649,51.125443,3.80771518,TNFAIP6,TNF alpha induced protein 6
48,48,221731_x_at,1.56e-23,1.4e-26,19.3038296,50.239839,4.38696128,VCAN,versican
57,57,206026_s_at,3.38e-23,3.58e-26,18.9376635,49.31416,4.42207675,TNFAIP6,TNF alpha induced protein 6
60,60,211924_s_at,4.65e-23,5.27e-26,18.789101,48.934592,3.19373776,PLAUR,"plasminogen activator, urokinase receptor"
62,62,201438_at,4.65e-23,5.400000000000001e-26,18.7797973,48.910744,3.03524021,COL6A3,collagen type VI alpha 3 chain
69,69,37892_at,9.38e-23,1.2e-25,18.4751354,48.124722,4.97045774,COL11A1,collagen type XI alpha 1 chain
