,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,225681_at,2.96e-11,5.42e-16,17.7270588,25.7518851,4.18652157,CTHRC1,collagen triple helix repeat containing 1,115908
3,3,201105_at,6.31e-10,4.61e-14,14.6853564,21.7880444,2.99370299,LGALS1,galectin 1,3956
4,4,201852_x_at,7.17e-10,7.02e-14,14.4217152,21.4049651,3.58304089,COL3A1,collagen type III alpha 1 chain,1281
6,6,206026_s_at,8.83e-10,1.22e-13,14.0791356,20.8967769,4.39335604,TNFAIP6,TNF alpha induced protein 6,7130
7,7,202404_s_at,8.83e-10,1.29e-13,14.0449379,20.8453899,3.8734058,COL1A2,collagen type I alpha 2 chain,1278
9,9,202952_s_at,1.57e-09,2.88e-13,13.5619275,20.1065431,4.26950894,ADAM12,ADAM metallopeptidase domain 12,8038
10,10,215076_s_at,3.13e-09,6.83e-13,13.054964,19.3040734,3.13330491,COL3A1,collagen type III alpha 1 chain,1281
11,11,204620_s_at,3.13e-09,6.87e-13,13.0520093,19.2993133,3.90548471,VCAN,versican,1462
12,12,221730_at,3.67e-09,8.73e-13,12.9135016,19.0750672,3.72817241,COL5A2,collagen type V alpha 2 chain,1290
13,13,221729_at,3.76e-09,9.62e-13,12.8579677,18.9845481,3.60997082,COL5A2,collagen type V alpha 2 chain,1290
14,14,204298_s_at,5.06e-09,1.51e-12,12.6035565,18.5653521,3.93211457,LOX,lysyl oxidase,4015
15,15,225464_at,5.06e-09,1.52e-12,12.5982875,18.5565915,2.70690583,FRMD6,FERM domain containing 6,122786
17,17,221731_x_at,5.28e-09,1.74e-12,12.5237007,18.4322302,3.81406465,VCAN,versican,1462
20,20,205542_at,7.59e-09,2.92e-12,12.2356825,17.9458709,3.9387039,STEAP1,six transmembrane epithelial antigen of the prostate 1,26872
21,21,212488_at,8.38e-09,3.37e-12,12.1555798,17.8088535,3.68970545,COL5A1,collagen type V alpha 1 chain,1289
22,22,225481_at,1.08e-08,4.54e-12,11.9930336,17.5284383,2.47965241,FRMD6,FERM domain containing 6,122786
23,23,212012_at,1.24e-08,5.45e-12,11.8942924,17.3565279,3.58677807,PXDN,peroxidasin,7837
28,28,228564_at,2.33e-08,1.23e-11,11.4585113,16.5834197,3.32248758,LINC01116,long intergenic non-protein coding RNA 1116,375295
30,30,213943_at,2.91e-08,1.65e-11,11.3066018,16.3083076,3.17560751,TWIST1,twist family bHLH transcription factor 1,7291
31,31,211161_s_at,3.32e-08,1.99e-11,11.2075707,16.1273719,3.19447969,COL3A1,collagen type III alpha 1 chain,1281
35,35,207198_s_at,3.61e-08,2.41e-11,11.1090683,15.9461486,1.9727995,LIMS4///LIMS1,LIM zinc finger domain containing 4///LIM zinc finger domain containing 1,100288695///3987
36,36,209955_s_at,3.61e-08,2.46e-11,11.0998547,15.9291332,3.42282748,FAP,fibroblast activation protein alpha,2191
39,39,227566_at,4.14e-08,3.1e-11,10.9805925,15.7078887,3.9381758,LOC102725271///NTM,neurotrimin-like///neurotrimin,102725271///50863
42,42,202403_s_at,4.38e-08,3.45e-11,10.9262831,15.6065232,2.83907643,COL1A2,collagen type I alpha 2 chain,1278
43,43,212013_at,5.26e-08,4.23e-11,10.8220121,15.4108207,4.28733885,PXDN,peroxidasin,7837
47,47,206025_s_at,5.45e-08,4.79e-11,10.7597268,15.2932349,4.50387919,TNFAIP6,TNF alpha induced protein 6,7130
48,48,212481_s_at,5.85e-08,5.32e-11,10.706315,15.1919914,2.9630566,TPM4,tropomyosin 4,7171
49,49,225878_at,5.85e-08,5.35e-11,10.7033028,15.1862703,1.68394568,KIF1B,kinesin family member 1B,23095
50,50,224817_at,6.21e-08,5.79e-11,10.6639795,15.1114736,2.01683206,SH3PXD2A,SH3 and PX domains 2A,9644
54,54,201506_at,9.95e-08,1.02e-10,10.3828167,14.5706353,3.3251762,TGFBI,transforming growth factor beta induced,7045
56,56,205580_s_at,1.01e-07,1.05e-10,10.3681355,14.5421017,3.85733503,HRH1,histamine receptor H1,3269
59,59,222457_s_at,1.28e-07,1.4e-10,10.2250064,14.2623893,1.56421835,LIMA1,LIM domain and actin binding 1,51474
60,60,209344_at,1.28e-07,1.42e-10,10.2183303,14.2492742,2.99871589,TPM4,tropomyosin 4,7171
61,61,214770_at,1.31e-07,1.48e-10,10.1983371,14.2099615,2.98007526,MSR1,macrophage scavenger receptor 1,4481
62,62,200832_s_at,1.33e-07,1.54e-10,10.1802425,14.1743347,3.14953792,SCD,stearoyl-CoA desaturase,6319
65,65,201560_at,1.34e-07,1.64e-10,10.1500734,14.1148344,1.93158145,CLIC4,chloride intracellular channel 4,25932
70,70,211981_at,1.47e-07,1.9e-10,10.0772246,13.9706449,2.64213159,COL4A1,collagen type IV alpha 1 chain,1282
71,71,222608_s_at,1.51e-07,1.99e-10,10.0559771,13.928452,4.19489391,ANLN,anillin actin binding protein,54443
75,75,226517_at,1.9e-07,2.7e-10,9.9094092,13.6357019,3.60533878,BCAT1,branched chain amino acid transaminase 1,586
76,76,210809_s_at,1.9e-07,2.71e-10,9.9077019,13.6322743,4.01305499,POSTN,periostin,10631
77,77,1555778_a_at,1.9e-07,2.73e-10,9.9035982,13.6240339,4.73549049,POSTN,periostin,10631
79,79,204787_at,1.92e-07,2.81e-10,9.8886986,13.594095,3.3774824,VSIG4,V-set and immunoglobulin domain containing 4,11326
80,80,203325_s_at,2.15e-07,3.18e-10,9.8300708,13.475991,4.17736281,COL5A1,collagen type V alpha 1 chain,1289
81,81,202311_s_at,2.15e-07,3.22e-10,9.8243853,13.4645121,4.7366581,COL1A1,collagen type I alpha 1 chain,1277
82,82,209191_at,2.27e-07,3.45e-10,9.7920354,13.3991134,2.29336305,TUBB6,tubulin beta 6 class V,84617
85,85,234985_at,2.52e-07,3.96e-10,9.7257167,13.2645867,1.55971568,LDLRAD3,low density lipoprotein receptor class A domain containing 3,143458
86,86,215446_s_at,2.57e-07,4.1e-10,9.7099675,13.2325494,3.82719893,LOX,lysyl oxidase,4015
87,87,202236_s_at,2.67e-07,4.32e-10,9.6851162,13.1819256,2.47109204,SLC16A1,solute carrier family 16 member 1,6566
88,88,217763_s_at,2.67e-07,4.42e-10,9.6742369,13.1597364,1.91250401,RAB31,"RAB31, member RAS oncogene family",11031
96,96,212365_at,3.2e-07,5.67e-10,9.5565895,12.9187251,2.18235083,MYO1B,myosin IB,4430
98,98,202310_s_at,3.2e-07,5.8e-10,9.5461051,12.8971524,3.59960861,COL1A1,collagen type I alpha 1 chain,1277
102,102,219257_s_at,3.5e-07,6.59e-10,9.4863315,12.7738665,2.83194844,SPHK1,sphingosine kinase 1,8877
104,104,205479_s_at,3.77e-07,7.3e-10,9.4384809,12.6748091,3.47986846,PLAU,"plasminogen activator, urokinase",5328
105,105,229900_at,3.77e-07,7.41e-10,9.4319219,12.6612058,2.39956645,CD109,CD109 molecule,135228
108,108,201743_at,3.77e-07,7.56e-10,9.42229,12.6412184,2.9923036,CD14,CD14 molecule,929
110,110,205499_at,3.86e-07,8.02e-10,9.3946826,12.5838568,5.11089719,SRPX2,"sushi repeat containing protein, X-linked 2",27286
111,111,201670_s_at,3.86e-07,8.08e-10,9.391211,12.576636,2.24926329,MARCKS,myristoylated alanine rich protein kinase C substrate,4082
114,114,202729_s_at,3.86e-07,8.17e-10,9.3860791,12.5659588,2.89615858,LTBP1,latent transforming growth factor beta binding protein 1,4052
115,115,222409_at,3.86e-07,8.18e-10,9.38539,12.5645248,1.996217,CORO1C,coronin 1C,23603
119,119,211980_at,4.07e-07,8.93e-10,9.3450879,12.48054,2.07244047,COL4A1,collagen type IV alpha 1 chain,1282
121,121,219410_at,4.18e-07,9.33e-10,9.3248738,12.4383297,2.29177228,TMEM45A,transmembrane protein 45A,55076
127,127,201438_at,4.49e-07,1.05e-09,9.2697592,12.322947,3.08383427,COL6A3,collagen type VI alpha 3 chain,1293
133,133,214435_x_at,4.56e-07,1.13e-09,9.2372126,12.254608,2.15865194,RALA,RALA Ras like proto-oncogene A,5898
134,134,222877_at,4.56e-07,1.13e-09,9.234742,12.2494143,1.97997619,NRP2,neuropilin 2,8828
137,137,52255_s_at,4.76e-07,1.2e-09,9.2076992,12.192508,2.61808966,COL5A3,collagen type V alpha 3 chain,50509
140,140,202998_s_at,4.85e-07,1.27e-09,9.1834443,12.1413798,3.16927891,LOXL2,lysyl oxidase like 2,4017
141,141,226545_at,4.85e-07,1.27e-09,9.181883,12.1380857,2.78947679,CD109,CD109 molecule,135228
143,143,204475_at,4.85e-07,1.28e-09,9.1775028,12.1288425,5.31303647,MMP1,matrix metallopeptidase 1,4312
145,145,213001_at,4.91e-07,1.31e-09,9.1677171,12.1081829,2.25708694,ANGPTL2,angiopoietin like 2,23452
147,147,213338_at,5.08e-07,1.37e-09,9.1463499,12.0630245,5.23895092,TMEM158,transmembrane protein 158 (gene/pseudogene),25907
151,151,203650_at,5.22e-07,1.46e-09,9.1182962,12.0036361,1.84655663,PROCR,protein C receptor,10544
154,154,203083_at,5.23e-07,1.48e-09,9.1118189,11.9899082,2.9443055,THBS2,thrombospondin 2,7058
155,155,226936_at,5.23e-07,1.5e-09,9.1052696,11.9760215,2.3682864,CENPW,centromere protein W,387103
