,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,10_11_7,2.3e-05,1.84e-09,-21.194496,11.70159,-4.9103724,,,
1,7_5_6,2.55e-05,4.08e-09,-19.490998,11.09604,-4.4119188,METTL7A,methyltransferase like 7A,25840
2,3_8_6,3.23e-05,7.77e-09,-18.212526,10.58582,-5.3918108,AKT3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",10000
3,46_17_4,3.51e-05,1.12e-08,-17.514496,10.28446,-5.110758,,,
4,3_17_5,5.84e-05,2.34e-08,16.205911,9.67095,4.7201851,PBK,PDZ binding kinase,55872
5,18_28_2,7.65e-05,3.68e-08,-15.442921,9.28099,-5.221281,TFF3,trefoil factor 3 (intestinal),7033
6,46_24_1,9.5e-05,6.05e-08,-14.642095,8.84331,-4.1771314,,,
7,43_30_6,9.5e-05,6.09e-08,-14.632528,8.8379,-3.585249,SH3BGRL2,SH3 domain binding glutamic acid-rich protein like 2,83699
8,3_31_2,9.96e-05,7.18e-08,-14.374507,8.69013,-4.6179866,CRABP1,cellular retinoic acid binding protein 1,1381
9,49_26_2,0.0001078,8.64e-08,-14.092811,8.52493,-3.675545,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2",4915
10,18_17_4,0.0001135,1.05e-07,-13.79825,8.34769,-3.6748098,,,
11,43_13_5,0.0001135,1.11e-07,-13.717635,8.29837,-5.9990488,MATN2,matrilin 2,4147
12,39_13_7,0.0001135,1.18e-07,-13.624914,8.24119,-5.2336105,DMD,"dystrophin (muscular dystrophy, Duchenne and Becker types)",1756
13,10_28_2,0.0001162,1.3e-07,-13.482214,8.15226,-5.885318,MATN2,matrilin 2,4147
14,48_24_3,0.0001433,1.72e-07,-13.082297,7.89681,-3.1124035,TADA3L,"transcriptional adaptor 3 (NGG1 homolog, yeast)-like",10474
15,57_23_2,0.0001458,1.87e-07,-12.967552,7.82178,-3.0805631,PLEKHH1,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",57475
16,4_18_4,0.0001478,2.01e-07,12.863536,7.75308,3.9122134,CENPF,"centromere protein F, 350/400ka (mitosin)",1063
17,56_24_4,0.0001701,2.45e-07,-12.590288,7.56942,-4.3757208,TACSTD1,tumor-associated calcium signal transducer 1,4072
18,51_20_3,0.0001728,2.64e-07,-12.491031,7.50154,-4.8336418,CMAH,cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase),8418
19,8_6_2,0.0001728,3.1e-07,12.273449,7.35054,2.699581,ZWINTAS///ZWINT,ZW10 interactor antisense///ZW10 interactor,53588///11130
20,46_19_3,0.0001728,3.24e-07,12.214571,7.30914,5.0896041,,,
21,56_9_4,0.0001728,3.39e-07,-12.156104,7.26781,-3.2381885,IL13,interleukin 13,3596
22,25_18_3,0.0001728,3.57e-07,12.086567,7.21835,4.1828311,FN1,fibronectin 1,2335
23,52_29_6,0.0001728,3.59e-07,-12.079305,7.21317,-2.5368296,,,
24,58_7_6,0.0001728,3.6e-07,-12.076315,7.21104,-3.6055164,OGN,osteoglycin,4969
25,12_5_8,0.0001728,3.64e-07,12.05974,7.19919,4.0568499,FN1,fibronectin 1,2335
26,37_4_2,0.0001728,3.74e-07,-12.026051,7.17505,-3.0552029,PRSS8,"protease, serine, 8",5652
27,39_29_2,0.0001815,4.07e-07,-11.914214,7.09436,-3.8831847,,,
28,51_11_5,0.0001837,4.37e-07,-11.821016,7.02647,-4.8503617,LRP1B,low density lipoprotein-related protein 1B (deleted in tumors),53353
29,25_20_1,0.0001837,4.42e-07,11.808805,7.01753,3.1412114,RUNX1,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene),861
30,2_28_2,0.0002124,5.27e-07,11.581273,6.84901,2.2828889,KIF2C,kinesin family member 2C,11004
31,14_12_4,0.000222,5.69e-07,11.485085,6.77665,3.6708957,CENPA,centromere protein A,1058
32,42_25_5,0.0002262,5.98e-07,-11.422476,6.7292,-3.2091753,ABAT,4-aminobutyrate aminotransferase,18
33,50_18_6,0.0002374,6.47e-07,-11.325186,6.65488,-2.2265751,ZNF33A,zinc finger protein 33A,7581
34,58_29_7,0.0002517,7.42e-07,11.155297,6.52342,3.366471,CD86,CD86 molecule,942
35,26_28_4,0.0002517,7.43e-07,-11.153659,6.52214,-3.557819,GUF1///ANGPTL1,GUF1 GTPase homolog (S. cerevisiae)///angiopoietin-like 1,60558///9068
36,14_30_2,0.0002517,7.46e-07,11.147911,6.51766,2.2367262,UCK2,uridine-cytidine kinase 2,7371
37,37_5_4,0.0002534,7.71e-07,11.107215,6.48582,2.1913263,LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),3937
38,22_18_1,0.0002569,8.03e-07,-11.05844,6.4475,-2.6015619,HIRA,HIR histone cell cycle regulation defective homolog A (S. cerevisiae),7290
39,51_6_6,0.0002818,9.03e-07,-10.915723,6.3343,-3.2395227,WWC1,WW and C2 domain containing 1,23286
40,29_10_5,0.0002985,9.8e-07,-10.816899,6.25498,-2.2457101,MBIP,MAP3K12 binding inhibitory protein 1,51562
41,36_13_7,0.0003001,1.01e-06,10.781424,6.22632,3.3969242,,,
42,36_2_7,0.000305,1.08e-06,-10.706367,6.16535,-3.390315,KIAA1324,KIAA1324,57535
43,24_30_2,0.000305,1.1e-06,10.683931,6.14704,2.4880477,PAQR4///PKMYT1,"progestin and adipoQ receptor family member IV///protein kinase, membrane associated tyrosine/threonine 1",124222///9088
44,8_31_4,0.000305,1.1e-06,10.680162,6.14396,2.6499679,HPR,haptoglobin-related protein,3250
45,59_30_1,0.0003137,1.16e-06,10.616075,6.0914,4.0612804,LGALS3,"lectin, galactoside-binding, soluble, 3",3958
46,40_24_2,0.0003137,1.18e-06,-10.595667,6.07459,-2.5024682,PDCD4,programmed cell death 4 (neoplastic transformation inhibitor),27250
47,34_9_4,0.0003501,1.35e-06,-10.442857,5.94766,-2.9992268,RFX2,"regulatory factor X, 2 (influences HLA class II expression)",5990
48,18_19_2,0.0003536,1.4e-06,-10.394363,5.90698,-4.3583127,SULT1C2,"sulfotransferase family, cytosolic, 1C, member 2",6819
49,36_13_2,0.0003536,1.42e-06,-10.383977,5.89824,-5.2628299,LRP2,low density lipoprotein-related protein 2,4036
50,35_18_6,0.0003642,1.49e-06,10.327266,5.85036,4.4680399,CEP55,centrosomal protein 55kDa,55165
51,45_29_4,0.0003687,1.54e-06,-10.286307,5.8156,-4.7735598,CD97,CD97 molecule,976
52,26_27_5,0.0003687,1.57e-06,10.26897,5.80085,4.3734461,TMEM158,transmembrane protein 158,25907
53,51_7_3,0.0003839,1.68e-06,-10.190603,5.73385,-2.5203204,CDS1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,1040
54,17_13_2,0.0003839,1.72e-06,10.159614,5.7072,3.166378,DUSP5,dual specificity phosphatase 5,1847
55,49_20_1,0.0003839,1.77e-06,-10.131061,5.68258,-2.4320168,PEBP1,phosphatidylethanolamine binding protein 1,5037
56,47_15_4,0.0003839,1.77e-06,-10.128057,5.67999,-3.0919282,VSIG2,V-set and immunoglobulin domain containing 2,23584
57,5_4_3,0.0003839,1.78e-06,10.120287,5.67327,3.0053428,PLK1,polo-like kinase 1 (Drosophila),5347
58,55_22_1,0.0003858,1.82e-06,10.095491,5.65181,1.935826,FGFR4,fibroblast growth factor receptor 4,2264
59,57_6_2,0.0003996,1.92e-06,-10.037151,5.6011,-2.5958914,TLE2,"transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)",7089
60,54_21_1,0.0004081,2.03e-06,9.977719,5.54913,2.2417584,CD68,CD68 molecule,968
61,37_5_2,0.0004081,2.03e-06,9.976582,5.54813,2.5422043,STMN1,stathmin 1/oncoprotein 18,3925
62,2_8_1,0.0004414,2.27e-06,9.850546,5.43686,1.9230556,YWHAH,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",7533
63,33_24_6,0.0004414,2.29e-06,-9.843187,5.43032,-1.7733823,SBDSP,Shwachman-Bodian-Diamond syndrome pseudogene,155370
64,14_24_1,0.0004414,2.3e-06,9.836973,5.4248,1.9021628,TYMS,thymidylate synthetase,7298
