,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,8056611,3.21e-08,1.33e-12,-48.182918,18.33419,-5.4715871,LRP2,LDL receptor related protein 2
1,7988350,3.21e-08,4.09e-12,-42.7343204,17.58642,-5.5746511,DUOX2,dual oxidase 2
2,8122744,3.21e-08,4.18e-12,-42.6328614,17.5709,-6.2108199,IYD,iodotyrosine deiodinase
3,8027266,3.21e-08,5.17e-12,-41.6833564,17.42254,-5.3791684,,
4,7947274,3.21e-08,5.22e-12,-41.640789,17.41576,-4.4265976,MPPED2,metallophosphoesterase domain containing 2
5,8072436,3.21e-08,6.79e-12,-40.4876084,17.22731,-4.5835599,INPP5J,inositol polyphosphate-5-phosphatase J
6,8147351,3.21e-08,8.61e-12,-39.4722096,17.05377,-4.2464662,ESRP1///RAF1,"epithelial splicing regulatory protein 1///Raf-1 proto-oncogene, serine/threonine kinase"
7,7906079,3.21e-08,9.1e-12,-39.2432295,17.0136,-4.8480563,RAB25,"RAB25, member RAS oncogene family"
8,8039996,3.21e-08,9.59e-12,-39.0219741,16.97442,-5.5026882,TPO,thyroid peroxidase
9,8106448,3.21e-08,9.67e-12,-38.989306,16.96861,-5.8134302,PDE8B,phosphodiesterase 8B
10,7983413,3.46e-08,1.16e-11,-38.2208751,16.82947,-4.539032,DUOX1,dual oxidase 1
11,7999291,3.46e-08,1.25e-11,-37.9358282,16.77669,-4.8475513,C16orf89,chromosome 16 open reading frame 89
12,8147273,3.72e-08,1.62e-11,-36.9104022,16.58141,-6.0985082,SLC26A7,solute carrier family 26 member 7
13,8140140,3.72e-08,1.66e-11,-36.8015863,16.56018,-4.2526219,CLDN3,claudin 3
14,7988990,3.72e-08,1.68e-11,-36.7647847,16.55298,-5.0382553,WDR72,WD repeat domain 72
15,7965769,4.15e-08,2e-11,-36.0867398,16.41818,-4.6450923,SLC5A8,solute carrier family 5 member 8
16,8173825,4.29e-08,2.19e-11,-35.7225909,16.34412,-4.9094032,RPS6KA6,ribosomal protein S6 kinase A6
17,8144712,4.56e-08,2.47e-11,-35.2797601,16.25246,-5.0018762,KIAA1456,KIAA1456
18,8053073,6.42e-08,3.87e-11,-33.6201486,15.89245,-4.6471472,SLC4A5,solute carrier family 4 member 5
19,8041853,6.42e-08,3.87e-11,-33.6183717,15.89205,-5.3134513,EPCAM,epithelial cell adhesion molecule
20,7978676,6.42e-08,4.13e-11,-33.3908308,15.84057,-5.0820518,NKX2-1,NK2 homeobox 1
21,8001007,6.42e-08,4.25e-11,-33.2897212,15.81752,-4.2672059,PRSS8,"protease, serine 8"
22,7976037,8.48e-08,6.13e-11,-32.0081881,15.51602,-5.2683601,TSHR///TSHR,thyroid stimulating hormone receptor///thyroid stimulating hormone receptor
23,7903959,8.48e-08,6.22e-11,-31.9588035,15.50405,-4.117457,PIFO,primary cilia formation
24,8081959,8.48e-08,6.37e-11,-31.8762458,15.48396,-4.4092066,STXBP5L,syntaxin binding protein 5 like
25,7983405,9.64e-08,7.53e-11,-31.3107064,15.34431,-5.5024719,DUOXA2,dual oxidase maturation factor 2
26,8068651,9.71e-08,7.93e-11,-31.1408356,15.30163,-5.0061126,PCP4,Purkinje cell protein 4
27,7979524,9.71e-08,8.17e-11,-31.0388427,15.27585,-3.8881739,TMEM30B,transmembrane protein 30B
28,7988380,9.73e-08,8.48e-11,-30.91608,15.24465,-3.5884092,DUOXA1,dual oxidase maturation factor 1
29,8147697,9.95e-08,8.98e-11,-30.7288643,15.19673,-3.5256199,GRHL2,grainyhead like transcription factor 2
30,8044143,1.02e-07,9.53e-11,-30.5330672,15.14615,-5.0581131,C2orf40,chromosome 2 open reading frame 40
31,7932453,1.19e-07,1.14e-10,-29.9418256,14.99056,-5.2109483,NEBL,nebulette
32,8092800,1.19e-07,1.18e-10,-29.8441455,14.96443,-4.1885229,ATP13A4,ATPase 13A4
33,8149685,1.24e-07,1.27e-10,-29.6112899,14.90165,-3.6366382,LGI3,leucine rich repeat LGI family member 3
34,8117547,1.48e-07,1.55e-10,-28.9764386,14.72688,-3.7523553,PRSS16,"protease, serine 16"
35,7945321,2.06e-07,2.28e-10,-27.8117833,14.39191,-3.9134256,GLB1L2,galactosidase beta 1 like 2
36,7965686,2.06e-07,2.3e-10,-27.7883939,14.38499,-4.0194301,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
37,8142646,2.07e-07,2.36e-10,-27.7029022,14.35961,-3.4642236,IQUB,IQ motif and ubiquitin domain containing
38,8098439,2.09e-07,2.45e-10,-27.5957418,14.32764,-5.8087376,EPCAM,epithelial cell adhesion molecule
39,8037374,2.13e-07,2.57e-10,27.4592475,14.28668,3.3236884,PLAUR,"plasminogen activator, urokinase receptor"
40,8101031,2.25e-07,2.9e-10,-27.1039777,14.17875,-3.4395435,CDKL2,cyclin dependent kinase like 2
41,7942332,2.25e-07,2.94e-10,-27.0653366,14.16689,-4.2015865,FOLR1,folate receptor 1
42,7936734,2.25e-07,2.94e-10,-27.0576506,14.16453,-4.2484468,FGFR2,fibroblast growth factor receptor 2
43,7934789,2.25e-07,2.98e-10,-27.0261287,14.15484,-3.0508081,GRID1,glutamate ionotropic receptor delta type subunit 1
44,8067185,2.5e-07,3.38e-10,-26.6556961,14.03979,-4.0630378,BMP7,bone morphogenetic protein 7
45,8133360,2.6e-07,3.59e-10,-26.4853813,13.98617,-4.5279515,CLDN4,claudin 4
46,8157300,2.71e-07,3.83e-10,-26.3064611,13.92934,-3.7556033,BSPRY,B-box and SPRY domain containing
47,8069795,2.91e-07,4.2e-10,-26.0464443,13.84582,-4.3532578,CLDN8,claudin 8
48,8150419,2.98e-07,4.39e-10,-25.9187618,13.8044,-4.1027699,ZMAT4,zinc finger matrin-type 4
49,8001547,2.99e-07,4.5e-10,-25.8502091,13.78205,-3.3011355,PLLP,plasmolipin
50,8105899,2.99e-07,4.72e-10,-25.7214448,13.73986,-4.1022883,MARVELD2,MARVEL domain containing 2
51,8177498,2.99e-07,4.72e-10,-25.7214448,13.73986,-4.1022883,MARVELD2,MARVEL domain containing 2
52,7901229,2.99e-07,4.84e-10,-25.6517667,13.71691,-2.7093901,FAAH,fatty acid amide hydrolase
53,8037103,2.99e-07,4.86e-10,-25.6378328,13.71231,-3.2462994,GRIK5,glutamate ionotropic receptor kainate type subunit 5
54,7961580,3.19e-07,5.28e-10,-25.4137975,13.63792,-5.7748338,LMO3,LIM domain only 3
55,8147891,3.21e-07,5.41e-10,-25.344792,13.61483,-5.9967946,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
56,8019541,4.31e-07,7.51e-10,-24.4666107,13.31361,-4.2053421,ZNF750,zinc finger protein 750
57,8157193,4.31e-07,7.54e-10,-24.4577078,13.31048,-4.507456,ZNF483,zinc finger protein 483
58,8021199,4.31e-07,7.65e-10,-24.4189866,13.29687,-3.0381929,MAPK4,mitogen-activated protein kinase 4
59,7996185,4.84e-07,8.74e-10,-24.0713464,13.17343,-2.8824791,MMP15,matrix metallopeptidase 15
60,8155734,4.87e-07,8.93e-10,-24.0161785,13.15363,-4.1490382,FAM189A2,family with sequence similarity 189 member A2
61,8039144,5.76e-07,1.07e-09,-23.5435193,12.98157,-3.073608,TMC4,transmembrane channel like 4
62,7901765,5.76e-07,1.11e-09,-23.4695725,12.95425,-3.3292122,HOOK1,hook microtubule tethering protein 1
63,8034084,5.76e-07,1.11e-09,-23.4638045,12.95211,-3.3588853,AP1M2,adaptor related protein complex 1 mu 2 subunit
64,8070567,5.8e-07,1.16e-09,-23.3395461,12.90595,-3.8803523,TFF3,trefoil factor 3
65,8137485,5.8e-07,1.17e-09,-23.3298802,12.90235,-4.0355385,DPP6,dipeptidyl peptidase like 6
66,8117120,5.8e-07,1.17e-09,-23.3294898,12.9022,-4.9205972,ID4,"inhibitor of DNA binding 4, HLH protein"
67,7985159,6.14e-07,1.27e-09,-23.1260971,12.82593,-5.2119299,CRABP1,cellular retinoic acid binding protein 1
68,7915500,6.14e-07,1.27e-09,-23.1127365,12.82089,-3.3681915,C1orf210,chromosome 1 open reading frame 210
69,7968678,6.15e-07,1.31e-09,-23.0383299,12.79275,-4.8172649,FREM2,FRAS1 related extracellular matrix protein 2
70,7921868,6.15e-07,1.31e-09,23.0381146,12.79267,3.8527374,FCGR3A,Fc fragment of IgG receptor IIIa
71,8163548,7.14e-07,1.55e-09,-22.63443,12.63801,-2.5764293,KIF12,kinesin family member 12
72,7983393,7.25e-07,1.59e-09,-22.5651866,12.61114,-3.5973255,SORD,sorbitol dehydrogenase
73,7937709,7.35e-07,1.64e-09,-22.4989246,12.58533,-3.42247,KRTAP5-6,keratin associated protein 5-6
74,8152506,7.62e-07,1.72e-09,-22.3789923,12.53836,-3.8622616,SAMD12,sterile alpha motif domain containing 12
75,8144705,7.69e-07,1.76e-09,-22.3265071,12.51771,-4.3864086,KIAA1456,KIAA1456
76,8106827,8.03e-07,1.86e-09,-22.1843943,12.46149,-3.0971957,ADGRV1,adhesion G protein-coupled receptor V1
77,8058591,8.03e-07,1.88e-09,-22.1575192,12.45081,-4.3226006,ACADL,"acyl-CoA dehydrogenase, long chain"
78,7952426,8.07e-07,1.93e-09,-22.1038412,12.42943,-3.161099,VSIG2,V-set and immunoglobulin domain containing 2
79,8097920,8.07e-07,1.94e-09,-22.0862581,12.42241,-3.5381322,LRAT,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
80,8009493,8.15e-07,1.99e-09,-22.0331219,12.40116,-5.8034476,KCNJ16,potassium voltage-gated channel subfamily J member 16
81,8158771,8.17e-07,2.01e-09,-21.9993244,12.38761,-4.6482392,AIF1L,allograft inflammatory factor 1 like
82,7960874,8.96e-07,2.24e-09,21.7506996,12.28715,3.3756313,C3AR1,complement component 3a receptor 1
83,7902235,9.08e-07,2.29e-09,-21.6925681,12.26346,-3.7772263,LRRC7,leucine rich repeat containing 7
84,8113483,9.22e-07,2.36e-09,-21.6281427,12.23711,-2.9629134,TMEM232,transmembrane protein 232
85,7934334,9.23e-07,2.39e-09,-21.5937861,12.22302,-2.7414637,CFAP70,cilia and flagella associated protein 70
86,8099476,9.23e-07,2.41e-09,-21.573073,12.21451,-3.0193162,PROM1,prominin 1
87,7994074,9.55e-07,2.53e-09,-21.4666579,12.17064,-2.6471596,SCNN1B,sodium channel epithelial 1 beta subunit
88,7946340,9.71e-07,2.6e-09,-21.4026338,12.14412,-3.567403,RIC3,RIC3 acetylcholine receptor chaperone
89,7898623,9.71e-07,2.64e-09,-21.3624788,12.12743,-2.9230806,UBXN10,UBX domain protein 10
90,8161270,9.71e-07,2.66e-09,-21.3504663,12.12244,-3.4691267,ANKRD18A,ankyrin repeat domain 18A
91,8095819,9.8e-07,2.71e-09,-21.3039164,12.10303,-2.6693999,FAM47E-STBD1///FAM47E,FAM47E-STBD1 readthrough///family with sequence similarity 47 member E
92,7910792,9.95e-07,2.78e-09,-21.2450847,12.07844,-3.7038888,RYR2,ryanodine receptor 2
93,7997593,1.12e-06,3.16e-09,-20.9555506,11.95619,-2.7852547,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
94,8080511,1.15e-06,3.29e-09,-20.8599244,11.91537,-3.1254286,CACNA1D,calcium voltage-gated channel subunit alpha1 D
95,7965231,1.28e-06,3.71e-09,-20.5945276,11.80088,-5.1845705,MGAT4C,MGAT4 family member C
96,7985873,1.3e-06,3.81e-09,20.5369348,11.7758,3.1214335,TICRR,TOPBP1 interacting checkpoint and replication regulator
97,7958398,1.32e-06,3.93e-09,-20.4676358,11.74551,-3.0413211,WSCD2,WSC domain containing 2
98,7936201,1.32e-06,3.93e-09,-20.4648077,11.74428,-2.8792113,CFAP43,cilia and flagella associated protein 43
99,7899101,1.57e-06,4.72e-09,-20.0634481,11.5664,-2.8679725,CNKSR1,connector enhancer of kinase suppressor of Ras 1
100,7982757,1.66e-06,5.05e-09,19.9168401,11.50037,3.7006599,KNL1,kinetochore scaffold 1
101,8123929,1.68e-06,5.15e-09,-19.8734436,11.48071,-2.6901136,ERVFRD-1,endogenous retrovirus group FRD member 1
102,7901565,1.72e-06,5.38e-09,-19.7822717,11.43925,-5.9865895,DIO1,"deiodinase, iodothyronine type I"
103,8028266,1.72e-06,5.39e-09,-19.7756135,11.43622,-2.3636152,ZNF540,zinc finger protein 540
104,7950764,1.77e-06,5.6e-09,-19.695869,11.39976,-4.3839474,DLG2,discs large MAGUK scaffold protein 2
105,8126820,1.8e-06,5.72e-09,-19.6485359,11.37803,-4.4926669,ADGRF1,adhesion G protein-coupled receptor F1
106,7982889,1.83e-06,5.9e-09,19.5833421,11.34801,3.6367196,NUSAP1,nucleolar and spindle associated protein 1
107,8136095,1.84e-06,5.97e-09,-19.5580278,11.33632,-2.4174034,AHCYL2,adenosylhomocysteinase like 2
108,7924309,1.89e-06,6.19e-09,-19.4833257,11.30172,-3.8829573,ESRRG,estrogen related receptor gamma
109,8002218,1.97e-06,6.5e-09,-19.378506,11.25292,-2.6881365,ESRP2,epithelial splicing regulatory protein 2
110,8043071,2.11e-06,7.03e-09,-19.2151188,11.17622,-2.5856534,DNAH6,dynein axonemal heavy chain 6
111,8008588,2.13e-06,7.16e-09,-19.1778278,11.15861,-3.6737381,HLF,"HLF, PAR bZIP transcription factor"
112,7932721,2.25e-06,7.64e-09,-19.0434726,11.09483,-2.0934595,LRRC37A6P,"leucine rich repeat containing 37 member A6, pseudogene"
113,7970676,2.25e-06,7.71e-09,-19.0245942,11.08582,-3.3600504,SHISA2,shisa family member 2
114,8098549,2.28e-06,7.89e-09,-18.9753142,11.06227,-2.7523429,STOX2,storkhead box 2
115,7993453,2.35e-06,8.26e-09,-18.8833374,11.01812,-3.2084629,MPV17L,MPV17 mitochondrial inner membrane protein like
116,8058462,2.35e-06,8.29e-09,-18.8759888,11.01458,-3.1962296,MDH1B,malate dehydrogenase 1B
117,8027354,2.37e-06,8.43e-09,-18.8396259,10.99705,-2.9675494,RPSAP58,ribosomal protein SA pseudogene 58
118,7901272,2.37e-06,8.47e-09,-18.8314783,10.99312,-2.9262451,CYP4X1,cytochrome P450 family 4 subfamily X member 1
119,7942453,2.41e-06,8.7e-09,-18.775904,10.96624,-3.4574013,PLEKHB1,pleckstrin homology domain containing B1
