,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,235629_at,1.38e-31,2.53e-36,29.8349014,71.946428,5.63350159,,
1,242881_x_at,2.03e-31,7.41e-36,29.2385688,70.926351,5.42333445,DUXAP10,double homeobox A pseudogene 10
2,205499_at,5.03e-31,3.5400000000000004e-35,28.3899134,69.438323,4.37474464,SRPX2,"sushi repeat containing protein, X-linked 2"
3,1557527_at,5.03e-31,3.68e-35,28.3690879,69.401257,3.26771559,,
4,209955_s_at,7.87e-29,7.2e-33,25.6613339,64.342326,4.07962802,FAP,fibroblast activation protein alpha
5,1555778_a_at,1.21e-28,1.33e-32,25.3603222,63.748901,5.91262502,POSTN,periostin
6,212012_at,3.4e-28,4.36e-32,24.789322,62.604991,3.46643666,PXDN,peroxidasin
7,204623_at,6.6599999999999995e-28,9.75e-32,-24.4072761,61.82598,-5.97231547,TFF3,trefoil factor 3
8,221729_at,2.7000000000000002e-27,4.45e-31,23.7006789,60.355454,3.58885892,COL5A2,collagen type V alpha 2 chain
9,209380_s_at,5.08e-27,9.29e-31,23.363877,59.640566,1.73096774,ABCC5,ATP binding cassette subfamily C member 5
10,219529_at,5.81e-27,1.17e-30,-23.2594665,59.417076,-6.30719749,CLIC3,chloride intracellular channel 3
11,228481_at,8.45e-27,1.8599999999999997e-30,23.0512081,58.968625,3.35311281,,
12,210342_s_at,1.62e-26,3.86e-30,-22.72367,58.256023,-7.33821316,TPO,thyroid peroxidase
13,232424_at,1.89e-26,4.83e-30,-22.6239285,58.037227,-5.24620169,PRDM16,PR/SET domain 16
14,235561_at,3.3200000000000004e-26,9.1e-30,-22.3452767,57.421467,-5.16686717,TXNL1,thioredoxin like 1
15,229479_at,3.48e-26,1.0200000000000001e-29,22.2954355,57.310625,4.56838088,,
16,214702_at,3.9300000000000004e-26,1.2200000000000001e-29,22.2164512,57.134529,5.2371489,FN1,fibronectin 1
17,226777_at,4.5600000000000003e-26,1.5e-29,22.1267063,56.933782,4.83346069,ADAM12,ADAM metallopeptidase domain 12
