,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,225681_at,2.96e-11,5.42e-16,17.7270588,25.7518851,4.18652157,CTHRC1,collagen triple helix repeat containing 1,115908
1,230782_at,3.61e-10,1.32e-14,-15.4953406,22.9230803,-3.75155724,SORD,sorbitol dehydrogenase,6652
2,204623_at,6.31e-10,3.61e-14,-14.8404633,22.0102329,-6.28520443,TFF3,trefoil factor 3,7033
3,201105_at,6.31e-10,4.61e-14,14.6853564,21.7880444,2.99370299,LGALS1,galectin 1,3956
4,201852_x_at,7.17e-10,7.02e-14,14.4217152,21.4049651,3.58304089,COL3A1,collagen type III alpha 1 chain,1281
5,227642_at,7.17e-10,7.87e-14,-14.3502487,21.2999309,-4.07690738,TFCP2L1,transcription factor CP2-like 1,29842
6,206026_s_at,8.83e-10,1.22e-13,14.0791356,20.8967769,4.39335604,TNFAIP6,TNF alpha induced protein 6,7130
7,202404_s_at,8.83e-10,1.29e-13,14.0449379,20.8453899,3.8734058,COL1A2,collagen type I alpha 2 chain,1278
8,214735_at,1.05e-09,1.73e-13,-13.8683819,20.5781615,-2.95054768,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
9,202952_s_at,1.57e-09,2.88e-13,13.5619275,20.1065431,4.26950894,ADAM12,ADAM metallopeptidase domain 12,8038
10,215076_s_at,3.13e-09,6.83e-13,13.054964,19.3040734,3.13330491,COL3A1,collagen type III alpha 1 chain,1281
11,204620_s_at,3.13e-09,6.87e-13,13.0520093,19.2993133,3.90548471,VCAN,versican,1462
12,221730_at,3.67e-09,8.73e-13,12.9135016,19.0750672,3.72817241,COL5A2,collagen type V alpha 2 chain,1290
13,221729_at,3.76e-09,9.62e-13,12.8579677,18.9845481,3.60997082,COL5A2,collagen type V alpha 2 chain,1290
14,204298_s_at,5.06e-09,1.51e-12,12.6035565,18.5653521,3.93211457,LOX,lysyl oxidase,4015
15,225464_at,5.06e-09,1.52e-12,12.5982875,18.5565915,2.70690583,FRMD6,FERM domain containing 6,122786
16,218858_at,5.06e-09,1.57e-12,-12.5789089,18.5243431,-3.33332478,DEPTOR,DEP domain containing MTOR-interacting protein,64798
17,221731_x_at,5.28e-09,1.74e-12,12.5237007,18.4322302,3.81406465,VCAN,versican,1462
18,213900_at,6.01e-09,2.09e-12,-12.4206943,18.2594144,-3.82927971,FAM189A2,family with sequence similarity 189 member A2,9413
19,211276_at,6.85e-09,2.51e-12,-12.3194783,18.0883847,-4.96396456,TCEAL2,transcription elongation factor A like 2,140597
20,205542_at,7.59e-09,2.92e-12,12.2356825,17.9458709,3.9387039,STEAP1,six transmembrane epithelial antigen of the prostate 1,26872
21,212488_at,8.38e-09,3.37e-12,12.1555798,17.8088535,3.68970545,COL5A1,collagen type V alpha 1 chain,1289
22,225481_at,1.08e-08,4.54e-12,11.9930336,17.5284383,2.47965241,FRMD6,FERM domain containing 6,122786
23,212012_at,1.24e-08,5.45e-12,11.8942924,17.3565279,3.58677807,PXDN,peroxidasin,7837
24,201563_at,1.69e-08,7.71e-12,-11.7078879,17.0287271,-3.90275619,SORD,sorbitol dehydrogenase,6652
25,209357_at,1.7e-08,8.08e-12,-11.6828673,16.9843996,-2.69844263,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,10370
26,203685_at,1.89e-08,9.32e-12,-11.6068086,16.8491714,-3.0409898,BCL2,"BCL2, apoptosis regulator",596
27,230281_at,2.04e-08,1.04e-11,-11.5465679,16.7415528,-2.52466404,C16orf46,chromosome 16 open reading frame 46,123775
28,228564_at,2.33e-08,1.23e-11,11.4585113,16.5834197,3.32248758,LINC01116,long intergenic non-protein coding RNA 1116,375295
29,226733_at,2.73e-08,1.5e-11,-11.356612,16.3992019,-2.53286382,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",5208
30,213943_at,2.91e-08,1.65e-11,11.3066018,16.3083076,3.17560751,TWIST1,twist family bHLH transcription factor 1,7291
31,211161_s_at,3.32e-08,1.99e-11,11.2075707,16.1273719,3.19447969,COL3A1,collagen type III alpha 1 chain,1281
32,203501_at,3.32e-08,2e-11,-11.2054237,16.1234351,-2.61167437,CPQ,carboxypeptidase Q,10404
33,204274_at,3.32e-08,2.07e-11,-11.1891644,16.0936033,-1.76918239,EBAG9,"estrogen receptor binding site associated, antigen, 9",9166
34,230093_at,3.45e-08,2.21e-11,-11.1550125,16.030832,-3.10681302,RSPH1,radial spoke head 1 homolog,89765
35,207198_s_at,3.61e-08,2.41e-11,11.1090683,15.9461486,1.9727995,LIMS4///LIMS1,LIM zinc finger domain containing 4///LIM zinc finger domain containing 1,100288695///3987
36,209955_s_at,3.61e-08,2.46e-11,11.0998547,15.9291332,3.42282748,FAP,fibroblast activation protein alpha,2191
37,237159_x_at,3.61e-08,2.51e-11,-11.089459,15.9099218,-3.92561405,AP1S3,adaptor related protein complex 1 sigma 3 subunit,130340
38,1554007_at,3.96e-08,2.82e-11,-11.0281173,15.7962746,-3.35192101,,,
39,227566_at,4.14e-08,3.1e-11,10.9805925,15.7078887,3.9381758,LOC102725271///NTM,neurotrimin-like///neurotrimin,102725271///50863
40,235800_at,4.14e-08,3.11e-11,-10.97929,15.7054621,-1.97487527,,,
41,210825_s_at,4.32e-08,3.32e-11,-10.9452279,15.6419264,-2.44066711,PEBP1,phosphatidylethanolamine binding protein 1,5037
42,202403_s_at,4.38e-08,3.45e-11,10.9262831,15.6065232,2.83907643,COL1A2,collagen type I alpha 2 chain,1278
