ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
205923_at	0.0000308	2.36e-09	-7.21683436	11.10678	-1.29	RELN	reelin	5649
213071_at	0.0000308	2.76e-09	-7.17369348	10.96091	-3.73	DPT	dermatopontin	1805
220037_s_at	0.000071	9.56e-09	-6.83395431	9.81035	-2.91	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	10894
206724_at	0.0000717	1.39e-08	6.73063081	9.46006	7.72e-01	CBX4	chromobox 4	8535
209612_s_at	0.0000717	1.77e-08	-6.66471819	9.2366	-2.58	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125
201525_at	0.0000717	1.93e-08	-6.64144794	9.1577	-2.51	APOD	apolipoprotein D	347
202995_s_at	0.0000784	2.46e-08	-6.57481717	8.93183	-2.31	FBLN1	fibulin 1	2192
214414_x_at	0.000101	4.57e-08	-6.40505372	8.35666	-1.77	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
209116_x_at	0.000101	4.71e-08	-6.3966395	8.32817	-2.31	HBB	hemoglobin subunit beta	3043
211699_x_at	0.000101	5.25e-08	-6.36697851	8.22775	-1.63	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
205574_x_at	0.000101	5.64e-08	6.34753468	8.16194	9.70e-01	BMP1	bone morphogenetic protein 1	649
205382_s_at	0.000101	5.97e-08	-6.33200056	8.10937	-2.91	CFD	complement factor D	1675
202994_s_at	0.000101	6.07e-08	-6.32721294	8.09317	-3.71	FBLN1	fibulin 1	2192
210155_at	0.000101	6.34e-08	-6.31515338	8.05236	-2.33	MYOC	myocilin	4653
213247_at	0.0001104	7.54e-08	-6.26779094	7.89216	-1.71	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	79987
217232_x_at	0.0001104	7.93e-08	-6.25384996	7.84503	-1.90	HBB	hemoglobin subunit beta	3043
219778_at	0.000118	9.00e-08	-6.2189807	7.72717	-1.80	ZFPM2	zinc finger protein, FOG family member 2	23414
208711_s_at	0.0001231	1.01e-07	6.18860952	7.62455	1.54	CCND1	cyclin D1	595
211726_s_at	0.0001231	1.05e-07	-6.17675423	7.58451	-1.33	FMO2	flavin containing monooxygenase 2	2327
219059_s_at	0.0001235	1.11e-07	-6.16169067	7.53364	-2.04	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	10894
206737_at	0.0001472	1.42e-07	-6.09428563	7.30617	-9.02e-01	WNT11	Wnt family member 11	7481
221640_s_at	0.0001472	1.54e-07	6.07119162	7.2283	6.41e-01	PIDD1	p53-induced death domain protein 1	55367
219054_at	0.0001472	1.60e-07	-6.05995905	7.19043	-1.55	NPR3	natriuretic peptide receptor 3	4883
209220_at	0.0001472	1.69e-07	-6.04552041	7.14177	-1.15	GPC3	glypican 3	2719
211696_x_at	0.0001472	1.69e-07	-6.04501519	7.14007	-1.77	HBB	hemoglobin subunit beta	3043
217414_x_at	0.0001472	1.72e-07	-6.04090706	7.12623	-2.03	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
204834_at	0.000149	1.81e-07	-6.02721231	7.08009	-1.62	FGL2	fibrinogen like 2	10875
211593_s_at	0.0001646	2.07e-07	5.98964331	6.95358	5.87e-01	MAST2	microtubule associated serine/threonine kinase 2	23139
221019_s_at	0.0001715	2.23e-07	-5.96868001	6.88303	-1.12	COLEC12	collectin subfamily member 12	81035
211813_x_at	0.0001971	2.70e-07	-5.91562286	6.70463	-2.47	DCN	decorin	1634
204955_at	0.0001971	2.79e-07	-5.90722261	6.6764	-1.69	SRPX	sushi repeat containing protein, X-linked	8406
204872_at	0.0001971	2.83e-07	-5.90290863	6.66191	-1.58	TLE4	transducin like enhancer of split 4	7091
209501_at	0.0001976	2.98e-07	-5.88847073	6.61342	-8.62e-01	LOC101060399///CDR2	cerebellar degeneration-related protein 2///cerebellar degeneration related protein 2	101060399///1039
204419_x_at	0.0001976	3.01e-07	-5.88544739	6.60326	-1.25	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
217525_at	0.0002138	3.36e-07	-5.85548475	6.50268	-7.41e-01	OLFML1	olfactomedin like 1	283298
213068_at	0.0002263	3.66e-07	-5.83193577	6.42369	-2.51	DPT	dermatopontin	1805
208116_s_at	0.0002297	3.81e-07	-5.82022709	6.38443	-9.14e-01	MAN1A1	mannosidase alpha class 1A member 1	4121
207977_s_at	0.0002504	4.33e-07	-5.78520641	6.26708	-3.02	DPT	dermatopontin	1805
202965_s_at	0.0002504	4.48e-07	-5.77552767	6.23467	-1.79	CAPN6	calpain 6	827
217853_at	0.0002504	4.70e-07	-5.76253516	6.19118	-1.00	TNS3	tensin 3	64759
213258_at	0.0002504	4.75e-07	-5.75946919	6.18092	-1.16	TFPI	tissue factor pathway inhibitor	7035
211745_x_at	0.0002504	4.79e-07	-5.75712913	6.17308	-1.78	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
215913_s_at	0.0002504	4.83e-07	-5.75454612	6.16444	-2.40	GULP1	GULP, engulfment adaptor PTB domain containing 1	51454
213515_x_at	0.0002598	5.14e-07	-5.7374068	6.1071	-9.24e-01	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
205083_at	0.0002598	5.25e-07	-5.73161834	6.08774	-1.56	AOX1	aldehyde oxidase 1	316
214745_at	0.0002915	6.02e-07	-5.69347269	5.96026	-1.36	PLCH1	phospholipase C eta 1	23007
204018_x_at	0.0002955	6.28e-07	-5.68176508	5.92116	-1.67	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
204237_at	0.0002955	6.37e-07	-5.6778244	5.90801	-1.76	GULP1	GULP, engulfment adaptor PTB domain containing 1	51454
204061_at	0.0003025	6.65e-07	-5.66556639	5.86709	-1.41	PRKX	protein kinase, X-linked	5613
214607_at	0.0003044	6.83e-07	-5.65824617	5.84267	-1.14	PAK3	p21 (RAC1) activated kinase 3	5063
212713_at	0.0003085	7.13e-07	-5.6461872	5.80244	-2.59	MFAP4	microfibrillar associated protein 4	4239
204359_at	0.0003085	7.20e-07	-5.64356267	5.79369	-1.71	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2	100506718///23768
219093_at	0.0003108	7.39e-07	-5.6361575	5.769	-1.92	PID1	phosphotyrosine interaction domain containing 1	55022
214500_at	0.0003173	7.71e-07	5.62459557	5.73046	7.80e-01	H2AFY	H2A histone family member Y	9555
211896_s_at	0.0003173	7.90e-07	-5.61765936	5.70735	-3.11	DCN	decorin	1634
219522_at	0.0003173	8.09e-07	5.61097576	5.68508	1.00	FJX1	four jointed box 1	24147
202193_at	0.0003173	8.12e-07	-5.61013467	5.68228	-9.25e-01	LIMK2	LIM domain kinase 2	3985
203886_s_at	0.0003541	9.22e-07	-5.57457351	5.5639	-2.94	FBLN2	fibulin 2	2199
206574_s_at	0.0003603	9.59e-07	5.56349597	5.52706	1.60	PTP4A3	protein tyrosine phosphatase type IVA, member 3	11156
201893_x_at	0.0003603	9.70e-07	-5.560262	5.51631	-2.46	DCN	decorin	1634
203646_at	0.0003829	1.06e-06	-5.53447886	5.43062	-9.97e-01	FDX1	ferredoxin 1	2230
213582_at	0.0003829	1.08e-06	5.53100891	5.41909	1.52	ATP11A	ATPase phospholipid transporting 11A	23250
205289_at	0.0003829	1.08e-06	-5.52959789	5.41441	-1.52	BMP2	bone morphogenetic protein 2	650
219330_at	0.0003859	1.12e-06	-5.52098991	5.38582	-6.68e-01	VANGL1	VANGL planar cell polarity protein 1	81839
209687_at	0.0003859	1.13e-06	-5.51837419	5.37714	-1.86	CXCL12	C-X-C motif chemokine ligand 12	6387
201906_s_at	0.0003859	1.14e-06	-5.51434309	5.36376	-6.66e-01	CTDSPL	CTD small phosphatase like	10217
204848_x_at	0.0004694	1.41e-06	-5.45521837	5.16773	-2.13	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
210582_s_at	0.0004735	1.44e-06	-5.44862967	5.14592	-7.57e-01	LIMK2	LIM domain kinase 2	3985
214596_at	0.0004814	1.49e-06	5.43985805	5.11689	1.94	CHRM3	cholinergic receptor muscarinic 3	1131
209763_at	0.0004848	1.52e-06	-5.43385572	5.09702	-2.19	CHRDL1	chordin like 1	91851
209335_at	0.0005009	1.60e-06	-5.42066377	5.05339	-2.67	DCN	decorin	1634
204633_s_at	0.000514	1.67e-06	-5.40843742	5.01297	-8.88e-01	RPS6KA5	ribosomal protein S6 kinase A5	9252
207595_s_at	0.000514	1.68e-06	5.40563333	5.0037	8.07e-01	BMP1	bone morphogenetic protein 1	649
212157_at	0.0005477	1.84e-06	-5.38044979	4.92053	-1.08	SDC2	syndecan 2	6383
209458_x_at	0.0005477	1.85e-06	-5.37951302	4.91744	-1.63	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
203354_s_at	0.0005477	1.90e-06	5.37139682	4.89065	2.30	PSD3	pleckstrin and Sec7 domain containing 3	23362
203215_s_at	0.0005477	1.91e-06	5.37051576	4.88774	1.53	MYO6	myosin VI	4646
201941_at	0.0005477	1.92e-06	5.36907164	4.88298	6.79e-01	CPD	carboxypeptidase D	1362
221760_at	0.0005519	1.96e-06	-5.3633716	4.86417	-9.69e-01	MAN1A1	mannosidase alpha class 1A member 1	4121
204722_at	0.0005639	2.02e-06	-5.35373106	4.83238	-1.50	SCN3B	sodium voltage-gated channel beta subunit 3	55800
201278_at	0.0005884	2.15e-06	-5.33641818	4.77532	-6.08e-01	LOC101926921///DAB2	uncharacterized LOC101926921///DAB2, clathrin adaptor protein	101926921///1601
205991_s_at	0.0005884	2.17e-06	-5.334762	4.76987	-7.11e-01	PRRX1	paired related homeobox 1	5396
213451_x_at	0.0006583	2.45e-06	-5.29967398	4.65438	-2.33	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	7148///7146
203766_s_at	0.0006777	2.55e-06	-5.28806012	4.61619	-2.16	LMOD1	leiomodin 1	25802
201466_s_at	0.0006862	2.64e-06	-5.27894824	4.58625	-1.66	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725
204235_s_at	0.0006862	2.65e-06	-5.27791757	4.58286	-1.66	GULP1	GULP, engulfment adaptor PTB domain containing 1	51454
214078_at	0.0006945	2.71e-06	-5.27121746	4.56085	-1.97	PAK3	p21 (RAC1) activated kinase 3	5063
203088_at	0.0006975	2.75e-06	-5.2667542	4.54619	-1.67	FBLN5	fibulin 5	10516
202281_at	0.0007449	2.98e-06	5.24496975	4.4747	4.71e-01	GAK	cyclin G associated kinase	2580
216840_s_at	0.0007479	3.02e-06	-5.24066347	4.46058	-2.22	LAMA2	laminin subunit alpha 2	3908
209962_at	0.0007564	3.10e-06	5.23331413	4.43648	1.05	EPOR	erythropoietin receptor	2057
203060_s_at	0.0007564	3.12e-06	-5.23121609	4.42961	-1.51	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	9060
213618_at	0.0007685	3.23e-06	-5.22184804	4.39891	-7.30e-01	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	116984
205860_x_at	0.0007685	3.25e-06	5.22027786	4.39376	1.94	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	219595///2346
211276_at	0.0007685	3.28e-06	-5.217629	4.38509	-2.48	TCEAL2	transcription elongation factor A like 2	140597
207943_x_at	0.00078	3.36e-06	-5.21045427	4.36159	-7.60e-01	PLAGL1	PLAG1 like zinc finger 1	5325
