ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
209228_x_at	6.09e-20	2.73e-24	2.09e+01	44.599313	3.74	TUSC3	tumor suppressor candidate 3	7991
203256_at	3.78e-19	3.39e-23	1.96e+01	42.237994	4.82	CDH3	cadherin 3	1001
202528_at	9.36e-19	1.26e-22	1.89e+01	40.998538	3.56	GALE	UDP-galactose-4-epimerase	2582
203510_at	1.41e-18	2.54e-22	1.86e+01	40.334485	3.23	MET	MET proto-oncogene, receptor tyrosine kinase	4233
214735_at	1.65e-18	3.69e-22	-1.84e+01	39.97959	-4.80	IPCEF1	interaction protein for cytohesin exchange factors 1	26034
209470_s_at	2.48e-18	7.52e-22	-1.81e+01	39.303063	-3.26	GPM6A	glycoprotein M6A	2823
210495_x_at	2.48e-18	7.79e-22	1.81e+01	39.269264	4.02	FN1	fibronectin 1	2335
216442_x_at	5.28e-18	1.89e-21	1.76e+01	38.423437	4.02	FN1	fibronectin 1	2335
213423_x_at	1.40e-17	5.65e-21	1.71e+01	37.378981	3.84	TUSC3	tumor suppressor candidate 3	7991
202833_s_at	2.38e-17	1.07e-20	1.69e+01	36.771455	5.03	SERPINA1	serpin family A member 1	5265
211719_x_at	3.25e-17	1.60e-20	1.67e+01	36.380642	3.92	FN1	fibronectin 1	2335
211478_s_at	4.09e-17	2.31e-20	1.65e+01	36.028418	4.64	DPP4	dipeptidyl peptidase 4	1803
212464_s_at	4.09e-17	2.39e-20	1.65e+01	35.997763	3.99	FN1	fibronectin 1	2335
211429_s_at	1.05e-16	6.91e-20	1.60e+01	34.976954	4.42	SERPINA1	serpin family A member 1	5265
203716_s_at	1.05e-16	7.08e-20	1.60e+01	34.952981	4.97	DPP4	dipeptidyl peptidase 4	1803
203717_at	1.07e-16	7.66e-20	1.60e+01	34.877109	3.89	DPP4	dipeptidyl peptidase 4	1803
205016_at	1.62e-16	1.24e-19	1.58e+01	34.413229	3.90	TGFA	transforming growth factor alpha	7039
206765_at	1.69e-16	1.37e-19	1.58e+01	34.317913	4.39	KCNJ2	potassium voltage-gated channel subfamily J member 2	3759
209270_at	2.86e-16	2.44e-19	1.55e+01	33.760335	4.50	LAMB3	laminin subunit beta 3	3914
205413_at	4.93e-16	4.42e-19	-1.53e+01	33.185031	-4.94	MPPED2	metallophosphoesterase domain containing 2	744
200701_at	1.40e-15	1.32e-18	1.48e+01	32.124648	1.70	NPC2	NPC intracellular cholesterol transporter 2	10577
218313_s_at	1.52e-15	1.50e-18	1.48e+01	32.001715	2.69	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	51809
203780_at	1.14e-14	1.18e-17	1.39e+01	30.00101	2.80	MPZL2	myelin protein zero like 2	10205
202701_at	1.19e-14	1.28e-17	1.39e+01	29.918027	1.61	BMP1	bone morphogenetic protein 1	649
205221_at	1.25e-14	1.40e-17	-1.39e+01	29.831136	-4.33	HGD	homogentisate 1,2-dioxygenase	3081
209469_at	3.04e-14	3.54e-17	-1.35e+01	28.929944	-3.82	GPM6A	glycoprotein M6A	2823
206884_s_at	3.39e-14	4.11e-17	1.35e+01	28.785895	3.83	SCEL	sciellin	8796
222173_s_at	4.05e-14	5.09e-17	1.34e+01	28.576028	2.63	TBC1D2	TBC1 domain family member 2	55357
218182_s_at	5.09e-14	6.63e-17	1.33e+01	28.319354	4.09	CLDN1	claudin 1	9076
219029_at	5.52e-14	7.43e-17	-1.32e+01	28.207326	-1.58	TMEM267	transmembrane protein 267	64417
211599_x_at	5.83e-14	8.36e-17	1.32e+01	28.092057	3.37	MET	MET proto-oncogene, receptor tyrosine kinase	4233
218309_at	5.83e-14	8.38e-17	1.32e+01	28.090675	3.38	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450
212850_s_at	5.83e-14	8.63e-17	1.32e+01	28.061251	5.37	LRP4	LDL receptor related protein 4	4038
209515_s_at	6.46e-14	9.86e-17	1.31e+01	27.93147	2.42	RAB27A	RAB27A, member RAS oncogene family	5873
202180_s_at	9.59e-14	1.51e-16	1.30e+01	27.517209	1.91	MVP	major vault protein	9961
211564_s_at	1.12e-13	1.82e-16	1.29e+01	27.334546	4.52	PDLIM4	PDZ and LIM domain 4	8572
203685_at	1.17e-13	1.94e-16	-1.29e+01	27.272244	-2.38	BCL2	BCL2, apoptosis regulator	596
219877_at	1.22e-13	2.09e-16	-1.28e+01	27.19929	-2.89	ZMAT4	zinc finger matrin-type 4	79698
204623_at	1.55e-13	2.72e-16	-1.27e+01	26.940284	-6.20	TFF3	trefoil factor 3	7033
209514_s_at	1.77e-13	3.17e-16	1.27e+01	26.789615	2.52	RAB27A	RAB27A, member RAS oncogene family	5873
218826_at	1.77e-13	3.27e-16	1.27e+01	26.761108	1.83	SLC35F2	solute carrier family 35 member F2	54733
221185_s_at	1.93e-13	3.64e-16	-1.26e+01	26.65392	-1.63	IQCG	IQ motif containing G	84223
202733_at	2.03e-13	3.92e-16	1.26e+01	26.581363	2.05	LOC101927705///P4HA2	uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2	101927705///8974
218368_s_at	2.27e-13	4.48e-16	1.26e+01	26.451896	3.30	TNFRSF12A	TNF receptor superfamily member 12A	51330
208025_s_at	2.27e-13	4.58e-16	1.26e+01	26.429999	5.06	HMGA2	high mobility group AT-hook 2	8091
213807_x_at	2.72e-13	5.62e-16	1.25e+01	26.230474	2.90	MET	MET proto-oncogene, receptor tyrosine kinase	4233
202286_s_at	3.36e-13	7.08e-16	1.24e+01	26.003734	5.46	TACSTD2	tumor-associated calcium signal transducer 2	4070
205174_s_at	4.42e-13	9.52e-16	1.23e+01	25.714161	3.75	QPCT	glutaminyl-peptide cyclotransferase	25797
220723_s_at	7.05e-13	1.55e-15	-1.21e+01	25.236547	-2.22	CWH43	cell wall biogenesis 43 C-terminal homolog	80157
210951_x_at	7.21e-13	1.64e-15	1.21e+01	25.178583	2.37	RAB27A	RAB27A, member RAS oncogene family	5873
204124_at	7.21e-13	1.65e-15	1.21e+01	25.175135	4.90	SLC34A2	solute carrier family 34 member 2	10568
202119_s_at	7.30e-13	1.70e-15	-1.21e+01	25.143495	-8.92e-01	CPNE3	copine 3	8895
201666_at	8.84e-13	2.10e-15	1.20e+01	24.937412	2.40	TIMP1	TIMP metallopeptidase inhibitor 1	7076
208161_s_at	9.02e-13	2.19e-15	1.20e+01	24.898973	3.00	ABCC3	ATP binding cassette subfamily C member 3	8714
212803_at	9.49e-13	2.34e-15	1.20e+01	24.831835	2.38	NAB2	NGFI-A binding protein 2	4665
202071_at	9.71e-13	2.44e-15	1.20e+01	24.791272	2.40	SDC4	syndecan 4	6385
203779_s_at	1.20e-12	3.06e-15	1.19e+01	24.570243	1.94	MPZL2	myelin protein zero like 2	10205
214175_x_at	1.20e-12	3.12e-15	1.19e+01	24.54995	3.35	PDLIM4	PDZ and LIM domain 4	8572
205481_at	1.26e-12	3.32e-15	1.18e+01	24.488063	3.18	ADORA1	adenosine A1 receptor	134
202826_at	1.38e-12	3.73e-15	1.18e+01	24.376279	2.32	SPINT1	serine peptidase inhibitor, Kunitz type 1	6692
203349_s_at	1.73e-12	4.78e-15	1.17e+01	24.131599	2.21	ETV5	ETS variant 5	2119
205357_s_at	1.73e-12	4.80e-15	-1.17e+01	24.127302	-3.31	AGTR1	angiotensin II receptor type 1	185
205498_at	1.88e-12	5.45e-15	-1.17e+01	24.002854	-2.73	GHR	growth hormone receptor	2690
203058_s_at	1.88e-12	5.51e-15	-1.17e+01	23.992337	-3.19	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	9060
205051_s_at	1.88e-12	5.53e-15	-1.17e+01	23.988794	-4.68	KIT	KIT proto-oncogene receptor tyrosine kinase	3815
217728_at	1.88e-12	5.58e-15	1.17e+01	23.980306	1.04	S100A6	S100 calcium binding protein A6	6277
203222_s_at	1.97e-12	5.92e-15	-1.16e+01	23.922198	-1.93	TLE1	transducin like enhancer of split 1	7088
