ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
210495_x_at	5.04e-19	3.97e-23	2.65e+01	41.01593	1.14	FN1	fibronectin 1	2335
216442_x_at	5.04e-19	5.66e-23	2.62e+01	40.71885	1.16	FN1	fibronectin 1	2335
211429_s_at	5.04e-19	6.78e-23	2.61e+01	40.56752	1.34	SERPINA1	serpin family A member 1	5265
211719_x_at	6.07e-19	1.09e-22	2.56e+01	40.17029	1.23	FN1	fibronectin 1	2335
212464_s_at	1.07e-18	2.40e-22	2.50e+01	39.50211	1.30	FN1	fibronectin 1	2335
202833_s_at	2.15e-18	5.79e-22	2.43e+01	38.74988	1.67	SERPINA1	serpin family A member 1	5265
207808_s_at	2.06e-16	6.48e-20	2.07e+01	34.6103	9.82e-01	PROS1	protein S (alpha)	5627
203510_at	2.86e-16	1.03e-19	2.04e+01	34.19772	9.14e-01	MET	MET proto-oncogene, receptor tyrosine kinase	4233
202528_at	1.85e-14	7.46e-18	1.76e+01	30.2826	8.81e-01	GALE	UDP-galactose-4-epimerase	2582
203908_at	2.38e-14	1.07e-17	-1.74e+01	29.95017	-1.10	SLC4A4	solute carrier family 4 member 4	8671
204328_at	4.24e-14	2.09e-17	1.70e+01	29.32526	9.62e-01	TMC6	transmembrane channel like 6	11322
204623_at	4.33e-14	2.38e-17	-1.69e+01	29.20393	-1.86	TFF3	trefoil factor 3	7033
220723_s_at	4.33e-14	2.69e-17	-1.68e+01	29.09034	-8.68e-01	CWH43	cell wall biogenesis 43 C-terminal homolog	80157
203256_at	4.33e-14	2.72e-17	1.68e+01	29.08089	1.79	CDH3	cadherin 3	1001
214349_at	3.57e-13	2.40e-16	-1.56e+01	27.03567	-1.36			
207789_s_at	6.75e-13	5.00e-16	-1.52e+01	26.341	-8.17e-01	DPP6	dipeptidyl peptidase like 6	1804
214735_at	6.75e-13	5.15e-16	-1.51e+01	26.31382	-9.22e-01	IPCEF1	interaction protein for cytohesin exchange factors 1	26034
203780_at	1.15e-12	9.25e-16	1.48e+01	25.75815	7.80e-01	MPZL2	myelin protein zero like 2	10205
207415_at	2.84e-12	2.42e-15	-1.43e+01	24.84129	-6.94e-01	PLA2R1	phospholipase A2 receptor 1	22925
215692_s_at	4.53e-12	4.19e-15	-1.40e+01	24.31925	-7.98e-01	MPPED2	metallophosphoesterase domain containing 2	744
211564_s_at	4.53e-12	4.27e-15	1.40e+01	24.29968	1.10	PDLIM4	PDZ and LIM domain 4	8572
201666_at	6.02e-12	5.94e-15	1.39e+01	23.98388	8.20e-01	TIMP1	TIMP metallopeptidase inhibitor 1	7076
204724_s_at	8.76e-12	9.04e-15	-1.36e+01	23.58188	-1.53	COL9A3	collagen type IX alpha 3 chain	1299
218368_s_at	1.10e-11	1.19e-14	1.35e+01	23.32098	8.37e-01	TNFRSF12A	TNF receptor superfamily member 12A	51330
200701_at	1.21e-11	1.36e-14	1.34e+01	23.19164	4.36e-01	NPC2	NPC intracellular cholesterol transporter 2	10577
220724_at	2.07e-11	2.42e-14	-1.32e+01	22.6381	-8.99e-01	CWH43	cell wall biogenesis 43 C-terminal homolog	80157
209324_s_at	2.16e-11	2.62e-14	-1.31e+01	22.56099	-8.72e-01	RGS16	regulator of G-protein signaling 16	6004
203355_s_at	2.17e-11	2.73e-14	1.31e+01	22.5216	7.61e-01	PSD3	pleckstrin and Sec7 domain containing 3	23362
218313_s_at	2.76e-11	3.59e-14	1.30e+01	22.25695	8.03e-01	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	51809
202826_at	2.93e-11	3.94e-14	1.29e+01	22.16545	6.59e-01	SPINT1	serine peptidase inhibitor, Kunitz type 1	6692
204493_at	3.46e-11	4.82e-14	1.28e+01	21.97219	8.30e-01	BID	BH3 interacting domain death agonist	637
208949_s_at	6.36e-11	9.13e-14	1.25e+01	21.35531	5.76e-01	LGALS3	lectin, galactoside binding soluble 3	3958
214175_x_at	9.58e-11	1.42e-13	1.23e+01	20.92914	1.22	PDLIM4	PDZ and LIM domain 4	8572
203058_s_at	1.00e-10	1.53e-13	-1.23e+01	20.85801	-8.30e-01	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	9060
209270_at	1.03e-10	1.62e-13	1.22e+01	20.79994	9.79e-01	LAMB3	laminin subunit beta 3	3914
203717_at	1.11e-10	1.79e-13	1.22e+01	20.70357	1.25	DPP4	dipeptidyl peptidase 4	1803
220603_s_at	1.12e-10	1.90e-13	1.22e+01	20.64399	4.49e-01	MCTP2	multiple C2 and transmembrane domain containing 2	55784
205174_s_at	1.12e-10	1.91e-13	1.22e+01	20.64206	1.08	QPCT	glutaminyl-peptide cyclotransferase	25797
206043_s_at	1.12e-10	1.96e-13	-1.22e+01	20.61569	-6.51e-01	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	9914
203854_at	1.18e-10	2.13e-13	1.21e+01	20.53703	6.98e-01	CFI	complement factor I	3426
221447_s_at	2.10e-10	3.86e-13	-1.18e+01	19.95857	-7.86e-01	GLT8D2	glycosyltransferase 8 domain containing 2	83468
211478_s_at	2.22e-10	4.19e-13	1.18e+01	19.87855	1.22	DPP4	dipeptidyl peptidase 4	1803
204124_at	2.41e-10	4.65e-13	1.18e+01	19.77817	1.53	SLC34A2	solute carrier family 34 member 2	10568
204105_s_at	3.16e-10	6.25e-13	1.16e+01	19.49064	7.19e-01	NRCAM	neuronal cell adhesion molecule	4897
202609_at	3.58e-10	7.37e-13	1.15e+01	19.3302	6.31e-01	EPS8	epidermal growth factor receptor pathway substrate 8	2059
208161_s_at	3.58e-10	7.38e-13	1.15e+01	19.32851	1.07	ABCC3	ATP binding cassette subfamily C member 3	8714
212538_at	4.66e-10	1.00e-12	1.14e+01	19.02971	4.94e-01	DOCK9	dedicator of cytokinesis 9	23348
203685_at	4.66e-10	1.00e-12	-1.14e+01	19.02908	-5.96e-01	BCL2	BCL2, apoptosis regulator	596
202180_s_at	4.95e-10	1.09e-12	1.14e+01	18.94974	5.72e-01	MVP	major vault protein	9961
202286_s_at	5.67e-10	1.27e-12	1.13e+01	18.7985	1.46	TACSTD2	tumor-associated calcium signal transducer 2	4070
202071_at	5.67e-10	1.30e-12	1.13e+01	18.78011	7.40e-01	SDC4	syndecan 4	6385
218613_at	7.46e-10	1.74e-12	1.12e+01	18.49341	7.65e-01	PSD3	pleckstrin and Sec7 domain containing 3	23362
205498_at	8.25e-10	1.96e-12	-1.11e+01	18.3768	-5.61e-01	GHR	growth hormone receptor	2690
211725_s_at	8.32e-10	2.02e-12	1.11e+01	18.34956	6.89e-01	BID	BH3 interacting domain death agonist	637
202350_s_at	8.42e-10	2.08e-12	-1.11e+01	18.32084	-9.07e-01	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	100506558///4147
222294_s_at	1.73e-09	4.34e-12	1.08e+01	17.60209	7.65e-01	RAB27A	RAB27A, member RAS oncogene family	5873
205413_at	1.88e-09	4.80e-12	-1.07e+01	17.50392	-1.18	MPPED2	metallophosphoesterase domain containing 2	744
220204_s_at	1.93e-09	5.08e-12	-1.07e+01	17.44775	-9.59e-01	BMP8A	bone morphogenetic protein 8a	353500
210194_at	1.93e-09	5.11e-12	-1.07e+01	17.44289	-5.82e-01	PLA2R1	phospholipase A2 receptor 1	22925
210753_s_at	2.02e-09	5.43e-12	-1.07e+01	17.38249	-4.88e-01	EPHB1	EPH receptor B1	2047
200660_at	2.10e-09	5.75e-12	1.06e+01	17.32695	5.58e-01	S100A11	S100 calcium binding protein A11	6282
205612_at	2.30e-09	6.39e-12	-1.06e+01	17.22293	-5.37e-01	MMRN1	multimerin 1	22915
210400_at	2.78e-09	7.86e-12	-1.05e+01	17.0206	-1.37	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	2905
220203_at	2.81e-09	8.08e-12	-1.05e+01	16.99393	-8.02e-01	BMP8A	bone morphogenetic protein 8a	353500
203779_s_at	3.20e-09	9.35e-12	1.04e+01	16.851	1.21	MPZL2	myelin protein zero like 2	10205
205016_at	3.20e-09	9.47e-12	1.04e+01	16.83863	9.28e-01	TGFA	transforming growth factor alpha	7039
204288_s_at	3.34e-09	1.01e-11	-1.04e+01	16.77641	-9.81e-01	SORBS2	sorbin and SH3 domain containing 2	8470
209641_s_at	3.34e-09	1.02e-11	1.04e+01	16.76562	8.69e-01	ABCC3	ATP binding cassette subfamily C member 3	8714
206806_at	5.06e-09	1.57e-11	-1.02e+01	16.34626	-7.95e-01	DGKI	diacylglycerol kinase iota	9162
219643_at	6.26e-09	1.97e-11	-1.01e+01	16.12311	-6.05e-01	LRP1B	LDL receptor related protein 1B	53353
213308_at	6.34e-09	2.02e-11	-1.01e+01	16.09668	-7.46e-01	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941
202295_s_at	6.92e-09	2.24e-11	1.01e+01	15.99771	6.96e-01	CTSH	cathepsin H	1512
205227_at	6.94e-09	2.27e-11	1.01e+01	15.98149	1.01	IL1RAP	interleukin 1 receptor accessory protein	3556
210951_x_at	7.14e-09	2.37e-11	1.00e+01	15.93961	7.60e-01	RAB27A	RAB27A, member RAS oncogene family	5873
209474_s_at	8.64e-09	2.91e-11	9.96	15.74007	1.14	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	953
210524_x_at	8.64e-09	2.95e-11	-9.96	15.72639	-8.96e-01			
209360_s_at	8.68e-09	3.00e-11	9.95	15.70937	1.18	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1	101928269///100506403///861
209325_s_at	9.49e-09	3.32e-11	-9.91	15.60906	-8.12e-01	RGS16	regulator of G-protein signaling 16	6004
221636_s_at	9.56e-09	3.39e-11	-9.90	15.58983	-5.30e-01	MARC2	mitochondrial amidoxime reducing component 2	54996
208891_at	9.62e-09	3.45e-11	9.89	15.57164	5.18e-01	DUSP6	dual specificity phosphatase 6	1848
