ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8056611	3.21e-08	1.33e-12	-48.182918	18.33419	-5.4715871	LRP2	LDL receptor related protein 2
7988350	3.21e-08	4.09e-12	-42.7343204	17.58642	-5.5746511	DUOX2	dual oxidase 2
8122744	3.21e-08	4.18e-12	-42.6328614	17.5709	-6.2108199	IYD	iodotyrosine deiodinase
8027266	3.21e-08	5.17e-12	-41.6833564	17.42254	-5.3791684		
7947274	3.21e-08	5.22e-12	-41.640789	17.41576	-4.4265976	MPPED2	metallophosphoesterase domain containing 2
8072436	3.21e-08	6.79e-12	-40.4876084	17.22731	-4.5835599	INPP5J	inositol polyphosphate-5-phosphatase J
8147351	3.21e-08	8.61e-12	-39.4722096	17.05377	-4.2464662	ESRP1///RAF1	epithelial splicing regulatory protein 1///Raf-1 proto-oncogene, serine/threonine kinase
7906079	3.21e-08	9.10e-12	-39.2432295	17.0136	-4.8480563	RAB25	RAB25, member RAS oncogene family
8039996	3.21e-08	9.59e-12	-39.0219741	16.97442	-5.5026882	TPO	thyroid peroxidase
8106448	3.21e-08	9.67e-12	-38.989306	16.96861	-5.8134302	PDE8B	phosphodiesterase 8B
7983413	3.46e-08	1.16e-11	-38.2208751	16.82947	-4.539032	DUOX1	dual oxidase 1
7999291	3.46e-08	1.25e-11	-37.9358282	16.77669	-4.8475513	C16orf89	chromosome 16 open reading frame 89
8147273	3.72e-08	1.62e-11	-36.9104022	16.58141	-6.0985082	SLC26A7	solute carrier family 26 member 7
8140140	3.72e-08	1.66e-11	-36.8015863	16.56018	-4.2526219	CLDN3	claudin 3
7988990	3.72e-08	1.68e-11	-36.7647847	16.55298	-5.0382553	WDR72	WD repeat domain 72
7965769	4.15e-08	2.00e-11	-36.0867398	16.41818	-4.6450923	SLC5A8	solute carrier family 5 member 8
8173825	4.29e-08	2.19e-11	-35.7225909	16.34412	-4.9094032	RPS6KA6	ribosomal protein S6 kinase A6
8144712	4.56e-08	2.47e-11	-35.2797601	16.25246	-5.0018762	KIAA1456	KIAA1456
8053073	6.42e-08	3.87e-11	-33.6201486	15.89245	-4.6471472	SLC4A5	solute carrier family 4 member 5
8041853	6.42e-08	3.87e-11	-33.6183717	15.89205	-5.3134513	EPCAM	epithelial cell adhesion molecule
7978676	6.42e-08	4.13e-11	-33.3908308	15.84057	-5.0820518	NKX2-1	NK2 homeobox 1
8001007	6.42e-08	4.25e-11	-33.2897212	15.81752	-4.2672059	PRSS8	protease, serine 8
