,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,211478_s_at,1.21e-09,2.22e-14,11.5440444,22.272366,3.86143238,DPP4,dipeptidyl peptidase 4,1803
1,1,235871_at,3.58e-09,1.34e-13,10.8895163,20.593844,3.37563277,LIPH,lipase H,200879
2,2,203716_s_at,3.58e-09,1.97e-13,10.7533906,20.236882,2.92398899,DPP4,dipeptidyl peptidase 4,1803
3,3,203717_at,3.69e-09,2.7e-13,10.6402377,19.938097,3.63236347,DPP4,dipeptidyl peptidase 4,1803
4,4,209227_at,4.07e-09,3.72e-13,10.527577,19.638751,2.59338779,TUSC3,tumor suppressor candidate 3,7991
5,5,229770_at,8.2e-09,9e-13,10.2185547,18.808156,1.69131378,GLT1D1,glycosyltransferase 1 domain containing 1,144423
6,6,241898_at,1.31e-08,1.68e-12,10.0027288,18.219833,1.91344073,LIPH,lipase H,200879
7,7,218313_s_at,1.61e-08,2.54e-12,9.8616866,17.831736,2.13325262,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809
8,8,208025_s_at,1.61e-08,2.65e-12,9.846248,17.789081,4.90804822,HMGA2,high mobility group AT-hook 2,8091
9,9,209228_x_at,1.81e-08,3.43e-12,9.7590287,17.547467,2.75482812,TUSC3,tumor suppressor candidate 3,7991
10,10,203779_s_at,1.81e-08,3.65e-12,9.7378418,17.488611,2.37254652,MPZL2,myelin protein zero like 2,10205
11,11,204015_s_at,2.26e-08,4.96e-12,9.6338839,17.198901,1.6716234,DUSP4,dual specificity phosphatase 4,1846
12,12,213423_x_at,2.35e-08,5.82e-12,9.5793793,17.046396,2.95718754,TUSC3,tumor suppressor candidate 3,7991
13,13,205728_at,2.35e-08,6.01e-12,9.5689693,17.017222,4.05065887,TENM1,teneurin transmembrane protein 1,10178
15,15,228715_at,3.2e-08,9.38e-12,9.4190549,16.595388,4.85352879,ZCCHC12,zinc finger CCHC-type containing 12,170261
16,16,230518_at,3.39e-08,1.06e-11,9.3795484,16.483702,2.12365099,MPZL2,myelin protein zero like 2,10205
17,17,206884_s_at,3.57e-08,1.18e-11,9.3429899,16.380156,3.70493001,SCEL,sciellin,8796
