,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
4,4,214735_at,1.65e-18,3.69e-22,-18.4,39.97959,-4.8,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
5,5,209470_s_at,2.48e-18,7.52e-22,-18.1,39.303063,-3.26,GPM6A,glycoprotein M6A,2823
19,19,205413_at,4.93e-16,4.42e-19,-15.3,33.185031,-4.94,MPPED2,metallophosphoesterase domain containing 2,744
24,24,205221_at,1.25e-14,1.4e-17,-13.9,29.831136,-4.33,HGD,"homogentisate 1,2-dioxygenase",3081
25,25,209469_at,3.04e-14,3.54e-17,-13.5,28.929944,-3.82,GPM6A,glycoprotein M6A,2823
29,29,219029_at,5.52e-14,7.43e-17,-13.2,28.207326,-1.58,TMEM267,transmembrane protein 267,64417
36,36,203685_at,1.17e-13,1.94e-16,-12.9,27.272244,-2.38,BCL2,"BCL2, apoptosis regulator",596
37,37,219877_at,1.22e-13,2.09e-16,-12.8,27.19929,-2.89,ZMAT4,zinc finger matrin-type 4,79698
38,38,204623_at,1.55e-13,2.72e-16,-12.7,26.940284,-6.2,TFF3,trefoil factor 3,7033
41,41,221185_s_at,1.93e-13,3.64e-16,-12.6,26.65392,-1.63,IQCG,IQ motif containing G,84223
48,48,220723_s_at,7.05e-13,1.55e-15,-12.1,25.236547,-2.22,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
51,51,202119_s_at,7.3e-13,1.7e-15,-12.1,25.143495,-0.892,CPNE3,copine 3,8895
61,61,205357_s_at,1.73e-12,4.8e-15,-11.7,24.127302,-3.31,AGTR1,angiotensin II receptor type 1,185
62,62,205498_at,1.88e-12,5.45e-15,-11.7,24.002854,-2.73,GHR,growth hormone receptor,2690
63,63,203058_s_at,1.88e-12,5.51e-15,-11.7,23.992337,-3.19,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
64,64,205051_s_at,1.88e-12,5.53e-15,-11.7,23.988794,-4.68,KIT,KIT proto-oncogene receptor tyrosine kinase,3815
66,66,203222_s_at,1.97e-12,5.92e-15,-11.6,23.922198,-1.93,TLE1,transducin like enhancer of split 1,7088
67,67,218653_at,2.05e-12,6.35e-15,-11.6,23.852484,-3.28,SLC25A15,solute carrier family 25 member 15,10166
68,68,220204_s_at,2.05e-12,6.44e-15,-11.6,23.838931,-3.18,BMP8A,bone morphogenetic protein 8a,353500
70,70,217127_at,2.13e-12,6.8e-15,-11.6,23.785567,-2.28,CTH,cystathionine gamma-lyase,1491
74,74,219059_s_at,2.53e-12,8.5e-15,-11.5,23.56696,-3.2,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
76,76,213188_s_at,3.51e-12,1.21e-14,-11.4,23.216531,-1.53,MINA,MYC induced nuclear antigen,84864
77,77,203908_at,3.8e-12,1.33e-14,-11.4,23.12685,-4.82,SLC4A4,solute carrier family 4 member 4,8671
78,78,205876_at,3.93e-12,1.39e-14,-11.3,23.082337,-1.85,LIFR,leukemia inhibitory factor receptor alpha,3977
80,80,201368_at,4.62e-12,1.68e-14,-11.3,22.898543,-1.25,ZFP36L2,ZFP36 ring finger protein like 2,678
81,81,206806_at,4.63e-12,1.7e-14,-11.3,22.883382,-2.91,DGKI,diacylglycerol kinase iota,9162
82,82,204917_s_at,6.34e-12,2.36e-14,-11.2,22.562119,-1.74,MLLT3,"MLLT3, super elongation complex subunit",4300
90,90,203060_s_at,1.96e-11,8e-14,-10.7,21.362196,-3.67,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
91,91,217546_at,2.19e-11,9.23e-14,-10.7,21.22157,-3.9,MT1M,metallothionein 1M,4499
92,92,215692_s_at,2.19e-11,9.24e-14,-10.7,21.220746,-2.08,MPPED2,metallophosphoesterase domain containing 2,744
95,95,213308_at,2.21e-11,9.53e-14,-10.7,21.190507,-2.58,SHANK2,SH3 and multiple ankyrin repeat domains 2,22941
96,96,206209_s_at,2.47e-11,1.07e-13,-10.6,21.07301,-4.22,CA4,carbonic anhydrase 4,762
99,99,204513_s_at,3.07e-11,1.38e-13,-10.6,20.826215,-2.81,ELMO1,engulfment and cell motility 1,9844
103,103,205612_at,3.63e-11,1.71e-13,-10.5,20.615134,-2.52,MMRN1,multimerin 1,22915
106,106,207981_s_at,3.71e-11,1.78e-13,-10.5,20.573788,-2.15,ESRRG,estrogen related receptor gamma,2104
107,107,212731_at,4.53e-11,2.19e-13,-10.4,20.369,-1.84,ANKRD46,ankyrin repeat domain 46,157567
108,108,216944_s_at,5.34e-11,2.61e-13,-10.3,20.19815,-2.75,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
110,110,221447_s_at,5.52e-11,2.75e-13,-10.3,20.146541,-2.9,GLT8D2,glycosyltransferase 8 domain containing 2,83468
111,111,206208_at,5.76e-11,2.89e-13,-10.3,20.096373,-3.56,CA4,carbonic anhydrase 4,762
113,113,218573_at,7.84e-11,4.01e-13,-10.2,19.774388,-0.808,MAGEH1,MAGE family member H1,28986
114,114,217165_x_at,8.7e-11,4.49e-13,-10.2,19.664198,-2.72,MT1F,metallothionein 1F,4494
115,115,203221_at,8.76e-11,4.56e-13,-10.2,19.648241,-1.61,TLE1,transducin like enhancer of split 1,7088
117,117,222056_s_at,9.5e-11,5.03e-13,-10.1,19.551597,-1.49,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011
120,120,210473_s_at,1e-10,5.45e-13,-10.1,19.472064,-2.54,ADGRA3,adhesion G protein-coupled receptor A3,166647
121,121,209612_s_at,1.07e-10,5.87e-13,-10.1,19.400067,-4.02,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
123,123,204918_s_at,1.16e-10,6.48e-13,-10.0,19.30193,-1.62,MLLT3,"MLLT3, super elongation complex subunit",4300
124,124,206542_s_at,1.18e-10,6.6e-13,-10.0,19.283715,-0.872,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",6595
