,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
9,9,203908_at,2.38e-14,1.07e-17,-17.4,29.95017,-1.1,SLC4A4,solute carrier family 4 member 4,8671
11,11,204623_at,4.33e-14,2.38e-17,-16.9,29.20393,-1.86,TFF3,trefoil factor 3,7033
12,12,220723_s_at,4.33e-14,2.69e-17,-16.8,29.09034,-0.868,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
15,15,207789_s_at,6.75e-13,5e-16,-15.2,26.341,-0.817,DPP6,dipeptidyl peptidase like 6,1804
16,16,214735_at,6.75e-13,5.15e-16,-15.1,26.31382,-0.922,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
18,18,207415_at,2.84e-12,2.42e-15,-14.3,24.84129,-0.694,PLA2R1,phospholipase A2 receptor 1,22925
19,19,215692_s_at,4.53e-12,4.19e-15,-14.0,24.31925,-0.798,MPPED2,metallophosphoesterase domain containing 2,744
22,22,204724_s_at,8.76e-12,9.04e-15,-13.6,23.58188,-1.53,COL9A3,collagen type IX alpha 3 chain,1299
24,25,220724_at,2.07e-11,2.42e-14,-13.2,22.6381,-0.899,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
25,26,209324_s_at,2.16e-11,2.62e-14,-13.1,22.56099,-0.872,RGS16,regulator of G-protein signaling 16,6004
32,33,203058_s_at,1e-10,1.53e-13,-12.3,20.85801,-0.83,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
36,38,206043_s_at,1.12e-10,1.96e-13,-12.2,20.61569,-0.651,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
38,40,221447_s_at,2.1e-10,3.86e-13,-11.8,19.95857,-0.786,GLT8D2,glycosyltransferase 8 domain containing 2,83468
44,47,203685_at,4.66e-10,1e-12,-11.4,19.02908,-0.596,BCL2,"BCL2, apoptosis regulator",596
49,52,205498_at,8.25e-10,1.96e-12,-11.1,18.3768,-0.561,GHR,growth hormone receptor,2690
51,54,202350_s_at,8.42e-10,2.08e-12,-11.1,18.32084,-0.907,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
53,56,205413_at,1.88e-09,4.8e-12,-10.7,17.50392,-1.18,MPPED2,metallophosphoesterase domain containing 2,744
54,57,220204_s_at,1.93e-09,5.08e-12,-10.7,17.44775,-0.959,BMP8A,bone morphogenetic protein 8a,353500
55,58,210194_at,1.93e-09,5.11e-12,-10.7,17.44289,-0.582,PLA2R1,phospholipase A2 receptor 1,22925
57,61,205612_at,2.3e-09,6.39e-12,-10.6,17.22293,-0.537,MMRN1,multimerin 1,22915
