,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
17,17,214735_at,6.83e-19,2.25e-22,-14.712294,40.49821,-3.73146376,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
38,38,236038_at,9.23e-18,6.5800000000000004e-21,-13.741507,37.19984,-2.22185142,RNF150,ring finger protein 150,57484
44,44,226965_at,1.27e-17,1.05e-20,-13.610292,36.74429,-0.93601817,DENND6A,DENN domain containing 6A,201627
49,49,225575_at,1.85e-17,1.69e-20,-13.476494,36.27738,-2.57054158,LIFR,leukemia inhibitory factor receptor alpha,3977
67,67,227657_at,8.78e-17,1.09e-19,-12.958917,34.44861,-1.74116501,RNF150,ring finger protein 150,57484
77,77,219093_at,1.41e-16,2.01e-19,-12.791325,33.8488,-1.95721713,PID1,phosphotyrosine interaction domain containing 1,55022
79,79,209447_at,1.6e-16,2.34e-19,-12.750242,33.70119,-1.49203692,SYNE1,spectrin repeat containing nuclear envelope protein 1,23345
82,82,204633_s_at,1.66e-16,2.52e-19,-12.730438,33.62996,-1.28634587,RPS6KA5,ribosomal protein S6 kinase A5,9252
87,87,227771_at,1.82e-16,2.94e-19,-12.688486,33.47889,-2.06998752,LIFR,leukemia inhibitory factor receptor alpha,3977
89,89,229024_at,1.97e-16,3.24e-19,-12.662124,33.38384,-1.81106876,RNF150,ring finger protein 150,57484
93,93,43427_at,2.64e-16,4.58e-19,-12.567666,33.04253,-1.26204161,ACACB,acetyl-CoA carboxylase beta,32
100,100,240052_at,3.18e-16,5.87e-19,-12.500631,32.79959,-1.60524858,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
101,101,49452_at,3.35e-16,6.27e-19,-12.482635,32.73427,-1.39953755,ACACB,acetyl-CoA carboxylase beta,32
113,113,225571_at,7.11e-16,1.48e-18,-12.25119,31.89045,-2.9032201,LIFR,leukemia inhibitory factor receptor alpha,3977
114,114,205498_at,7.11e-16,1.49e-18,-12.248898,31.88206,-2.10542638,GHR,growth hormone receptor,2690
115,115,204513_s_at,7.51e-16,1.6e-18,-12.230649,31.81523,-2.14876793,ELMO1,engulfment and cell motility 1,9844
118,118,202350_s_at,8.94e-16,1.95e-18,-12.177737,31.6212,-2.58067209,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
122,122,205876_at,9.3e-16,2.09e-18,-12.158836,31.5518,-2.10529048,LIFR,leukemia inhibitory factor receptor alpha,3977
126,126,242715_at,9.51e-16,2.21e-18,-12.144424,31.49886,-1.93734246,ZNF536,zinc finger protein 536,9745
130,130,219643_at,1.09e-15,2.62e-18,-12.09852,31.33004,-3.2695578,LRP1B,LDL receptor related protein 1B,53353
131,131,215692_s_at,1.1e-15,2.66e-18,-12.094401,31.31488,-2.78077588,MPPED2,metallophosphoesterase domain containing 2,744
135,135,241017_at,1.23e-15,3.07e-18,-12.056679,31.17593,-1.49126789,TBC1D8///RPL31,TBC1 domain family member 8///ribosomal protein L31,11138///6160
145,145,209470_s_at,1.69e-15,4.51e-18,-11.954308,30.79793,-3.38415489,GPM6A,glycoprotein M6A,2823
149,149,205083_at,1.85e-15,5.08e-18,-11.922602,30.6806,-2.67947525,AOX1,aldehyde oxidase 1,316
156,156,223296_at,2.53e-15,7.27e-18,-11.82764,30.32839,-1.42050934,SLC25A33,solute carrier family 25 member 33,84275
159,159,231358_at,2.76e-15,8.07e-18,-11.80009,30.22599,-2.28253268,MRO,maestro,83876
163,163,204623_at,3.01e-15,9.06e-18,-11.769459,30.11204,-4.12776767,TFF3,trefoil factor 3,7033
164,164,240236_at,3.01e-15,9.09e-18,-11.76851,30.1085,-2.89979087,STXBP5L,syntaxin binding protein 5 like,9515
165,165,225522_at,3.02e-15,9.18e-18,-11.76591,30.09882,-1.14952873,AAK1,AP2 associated kinase 1,22848
167,167,230673_at,3.13e-15,9.61e-18,-11.753888,30.05406,-4.16297391,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,93035
168,168,221030_s_at,3.15e-15,9.73e-18,-11.75056,30.04167,-1.72944077,ARHGAP24,Rho GTPase activating protein 24,83478
173,173,217853_at,3.69e-15,1.17e-17,-11.701012,29.85697,-1.36956418,TNS3,tensin 3,64759
174,174,204635_at,3.82e-15,1.22e-17,-11.690714,29.81854,-1.09886185,RPS6KA5,ribosomal protein S6 kinase A5,9252
178,178,223202_s_at,4.38e-15,1.43e-17,-11.648671,29.66153,-0.8584691,LOC101928589///TMEM164,uncharacterized LOC101928589///transmembrane protein 164,101928589///84187
180,180,202920_at,4.53e-15,1.5e-17,-11.636441,29.61581,-2.51301313,ANK2,"ankyrin 2, neuronal",287
189,189,203058_s_at,5.88e-15,2.04e-17,-11.555251,29.31186,-2.3890311,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
190,190,208845_at,6.26e-15,2.19e-17,-11.537713,29.24609,-0.62531973,VDAC3,voltage dependent anion channel 3,7419
