,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
1,1,1570289_at,2.11e-06,7.72e-11,-17.8,14.1702,-3.73,LOC646736,uncharacterized LOC646736,646736
2,2,229778_at,2.41e-06,1.32e-10,-17.1,13.76688,-4.05,SPX,spexin hormone,80763
3,3,214735_at,2.47e-06,1.9e-10,-16.6,13.49317,-3.5,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
4,4,206517_at,2.47e-06,2.38e-10,-16.4,13.31637,-3.94,CDH16,cadherin 16,1014
7,7,205221_at,5.87e-06,8.77e-10,-14.8,12.28184,-2.95,HGD,"homogentisate 1,2-dioxygenase",3081
8,8,209469_at,5.87e-06,9.67e-10,-14.7,12.20188,-2.08,GPM6A,glycoprotein M6A,2823
9,9,209470_s_at,6.02e-06,1.19e-09,-14.4,12.02892,-3.07,GPM6A,glycoprotein M6A,2823
11,11,1554748_at,6.02e-06,1.43e-09,-14.2,11.88146,-1.87,CLCNKB,chloride voltage-gated channel Kb,1188
14,14,210194_at,6.35e-06,1.74e-09,-14.0,11.71639,-2.43,PLA2R1,phospholipase A2 receptor 1,22925
16,16,227760_at,8.82e-06,2.86e-09,-13.5,11.2996,-3.45,IGFBPL1,insulin like growth factor binding protein like 1,347252
18,18,219735_s_at,1.182e-05,4.11e-09,-13.1,10.99388,-2.99,TFCP2L1,transcription factor CP2-like 1,29842
19,19,203908_at,1.901e-05,7.23e-09,-12.5,10.50695,-3.08,SLC4A4,solute carrier family 4 member 4,8671
20,20,241672_at,1.901e-05,7.3e-09,-12.5,10.49859,-2.5,SERTM1,serine rich and transmembrane domain containing 1,400120
23,23,202350_s_at,2.765e-05,1.21e-08,-12.0,10.05472,-2.36,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
24,24,206300_s_at,2.8e-05,1.3e-08,-12.0,9.99322,-1.74,PTHLH,parathyroid hormone like hormone,5744
26,26,220723_s_at,2.8e-05,1.38e-08,-11.9,9.93995,-3.24,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
28,28,216944_s_at,2.859e-05,1.52e-08,-11.8,9.85847,-2.08,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
29,29,230802_at,2.938e-05,1.71e-08,-11.7,9.75228,-1.23,ARHGAP24,Rho GTPase activating protein 24,83478
32,32,230673_at,2.938e-05,1.77e-08,-11.7,9.72007,-4.28,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,93035
33,33,228546_at,3.284e-05,2.04e-08,-11.5,9.59452,-2.95,DPP6,dipeptidyl peptidase like 6,1804
34,34,236038_at,3.395e-05,2.17e-08,-11.5,9.53923,-2.15,RNF150,ring finger protein 150,57484
37,37,229032_at,4.696e-05,3.26e-08,-11.1,9.17509,-3.64,WSCD2,WSC domain containing 2,9671
38,38,208399_s_at,4.741e-05,3.47e-08,-11.1,9.11928,-3.63,EDN3,endothelin 3,1908
39,39,203710_at,4.741e-05,3.51e-08,-11.0,9.11062,-1.94,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
41,41,204623_at,4.815e-05,3.86e-08,-11.0,9.02367,-4.08,TFF3,trefoil factor 3,7033
43,43,235746_s_at,4.815e-05,3.99e-08,-10.9,8.9942,-3.42,PLA2R1,phospholipase A2 receptor 1,22925
45,45,205498_at,4.815e-05,4.05e-08,-10.9,8.98045,-1.68,GHR,growth hormone receptor,2690
48,48,220724_at,5.768e-05,5.24e-08,-10.7,8.7464,-2.01,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
51,51,225575_at,5.768e-05,5.56e-08,-10.6,8.69291,-2.51,LIFR,leukemia inhibitory factor receptor alpha,3977
53,53,207789_s_at,5.768e-05,5.7e-08,-10.6,8.67135,-1.67,DPP6,dipeptidyl peptidase like 6,1804
54,54,228973_at,6.617e-05,6.66e-08,-10.5,8.52951,-2.13,DLG2,discs large MAGUK scaffold protein 2,1740
55,55,214044_at,6.922e-05,7.09e-08,-10.4,8.47192,-2.38,RYR2,ryanodine receptor 2,6262
56,56,207981_s_at,7.362e-05,7.98e-08,-10.3,8.36349,-2.14,ESRRG,estrogen related receptor gamma,2104
58,58,243580_at,7.362e-05,8.07e-08,-10.3,8.3539,-1.99,GNA14,G protein subunit alpha 14,9630
59,59,203911_at,7.362e-05,8.15e-08,-10.3,8.3446,-1.85,RAP1GAP,RAP1 GTPase activating protein,5909
60,60,205413_at,7.362e-05,8.24e-08,-10.3,8.33451,-3.53,MPPED2,metallophosphoesterase domain containing 2,744
