,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,3_31_2,7.72e-09,6.18e-13,-23.1211303,17.85021,-4.5070876,CRABP1,cellular retinoic acid binding protein 1,1381
1,1,39_13_7,3.51e-08,5.62e-12,-19.7967908,16.36077,-5.4658969,DMD,"dystrophin (muscular dystrophy, Duchenne and Becker types)",1756
2,2,51_20_3,6.9e-08,1.96e-11,-18.1194838,15.44802,-5.0475288,CMAH,cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase),8418
3,3,3_8_6,6.9e-08,2.21e-11,-17.9640023,15.35696,-5.79651,AKT3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",10000
4,4,51_25_3,1.65e-07,6.6e-11,-16.614341,14.51538,-3.623811,FZD1,frizzled homolog 1 (Drosophila),8321
5,5,45_29_4,1.74e-07,8.39e-11,-16.330562,14.32603,-4.1421982,CD97,CD97 molecule,976
6,6,40_18_7,9.8e-07,5.49e-10,-14.2547297,12.7916,-3.706897,PBX1,pre-B-cell leukemia homeobox 1,5087
8,8,25_24_6,4.45e-06,3.21e-09,-12.5207682,11.27615,-2.4974325,MGLL,monoglyceride lipase,11343
9,9,33_16_5,1.46e-05,1.17e-08,-11.3670142,10.12647,-1.9432805,ARHGAP6,Rho GTPase activating protein 6,395
11,11,35_8_6,3.42e-05,3.29e-08,-10.5043298,9.18198,-3.0551016,ARHGAP25,Rho GTPase activating protein 25,9938
12,12,44_13_6,6.04e-05,6.29e-08,-9.9919526,8.58326,-3.394822,MRPS15///EPHB1,mitochondrial ribosomal protein S15///EPH receptor B1,64960///2047
13,13,24_22_2,6.71e-05,7.53e-08,-9.8527522,8.41546,-1.5142491,SEPP1,"selenoprotein P, plasma, 1",6414
14,14,30_13_7,6.74e-05,8.1e-08,-9.7972719,8.34795,-4.687379,MMRN1,multimerin 1,22915
15,15,30_23_6,9.67e-05,1.3e-07,-9.4402068,7.90475,-1.5265044,NFIA,nuclear factor I/A,4774
16,16,12_18_3,9.67e-05,1.32e-07,-9.4306484,7.89267,-2.1308062,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
17,17,4_22_7,0.000116,1.69e-07,-9.245827,7.65698,-1.6680522,EPHA3,EPH receptor A3,2042
19,19,56_26_4,0.000116,1.86e-07,-9.1784578,7.57001,-1.9559716,EPHA3,EPH receptor A3,2042
20,20,41_23_5,0.000128,2.22e-07,-9.0498266,7.40238,-1.8623691,TAOK3,TAO kinase 3,51347
21,21,6_11_6,0.000128,2.25e-07,-9.037933,7.38678,-2.2756464,RRAGD,Ras-related GTP binding D,58528
22,22,9_8_6,0.000146,2.75e-07,-8.8942707,7.19685,-1.6874947,PPM1F,protein phosphatase 1F (PP2C domain containing),9647
23,23,45_17_1,0.000146,2.84e-07,-8.8726259,7.16801,-1.5869711,FOLR1,folate receptor 1 (adult),2348
24,24,36_2_7,0.000146,2.93e-07,-8.8502698,7.13815,-3.3231429,KIAA1324,KIAA1324,57535
25,25,38_16_6,0.000152,3.17e-07,-8.7946925,7.06365,-2.4558359,FAM84A,"family with sequence similarity 84, member A",151354
26,26,13_4_6,0.000184,4.07e-07,-8.6189389,6.82539,-1.909527,TBC1D4,"TBC1 domain family, member 4",9882
28,28,47_16_6,0.00022,5.11e-07,-8.4613037,6.60822,-1.2108411,BRP44L,brain protein 44-like,51660
30,30,20_27_1,0.00028,7.12e-07,-8.2352147,6.2909,-5.8444703,ADD2,adducin 2 (beta),119
31,31,30_3_7,0.00028,7.28e-07,-8.2205576,6.27009,-2.1109994,PMS2L11///KIAA1505,postmeiotic segregation increased 2-like 11///KIAA1505 protein,441263///57639
32,32,54_31_6,0.00028,7.4e-07,-8.209418,6.25425,-1.5955234,HMBOX1,homeobox containing 1,79618
34,34,14_20_3,0.000299,8.38e-07,-8.1256981,6.13468,-1.4711039,RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5",9252
35,35,54_12_6,0.000391,1.13e-06,-7.9288196,5.84965,-1.7128947,C20orf19,chromosome 20 open reading frame 19,55857
36,36,48_3_8,0.000392,1.16e-06,-7.9090119,5.82068,-1.4230397,SEPP1,"selenoprotein P, plasma, 1",6414
38,38,56_9_6,0.000429,1.34e-06,-7.8158978,5.68372,-1.0703241,C12orf52,chromosome 12 open reading frame 52,84934
40,40,38_24_3,0.000446,1.47e-06,-7.7574184,5.59708,-1.02405,TFB1M,"transcription factor B1, mitochondrial",51106
41,41,12_9_7,0.000471,1.59e-06,-7.7066422,5.52146,-2.7309158,SOX4,SRY (sex determining region Y)-box 4,6659
43,43,30_17_7,0.000507,1.79e-06,-7.6281136,5.40377,-1.4744708,INTS1,integrator complex subunit 1,26173
45,45,12_12_4,0.000507,1.87e-06,-7.6013868,5.36352,-1.4667506,TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",7091
47,47,32_12_7,0.000569,2.19e-06,-7.5005778,5.21076,-2.8887508,PRAME,preferentially expressed antigen in melanoma,23532
49,49,6_27_6,0.000628,2.51e-06,-7.4121718,5.07558,-1.2393708,PGM5,phosphoglucomutase 5,5239
50,50,18_5_3,0.00064,2.69e-06,-7.3704383,5.01137,-1.6131308,USP9Y,"ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)",8287
51,51,34_19_3,0.00064,2.79e-06,-7.3476458,4.9762,-1.9509334,KIAA1727,KIAA1727 protein,85462
52,52,32_2_6,0.00064,2.8e-06,-7.3441728,4.97083,-1.6645037,SASH1,SAM and SH3 domain containing 1,23328
55,55,3_9_3,0.000652,2.93e-06,-7.316609,4.92818,-3.1259189,SFRP1,secreted frizzled-related protein 1,6422
56,56,44_18_7,0.000654,2.99e-06,-7.3036075,4.90802,-1.0863321,MTERFD3,MTERF domain containing 3,80298
57,57,14_2_2,0.000658,3.06e-06,-7.2889871,4.88532,-2.7590582,GPC3,glypican 3,2719
60,60,12_2_7,0.000686,3.35e-06,-7.2317816,4.79621,-2.2960401,KIAA1217,KIAA1217,56243
62,62,47_16_1,0.000778,3.93e-06,-7.1336811,4.64228,-1.3931544,FHIT,fragile histidine triad gene,2272
65,65,37_8_6,0.000834,4.48e-06,-7.053258,4.51503,-1.3050059,ANKRD46,ankyrin repeat domain 46,157567
66,66,58_4_4,0.000834,4.51e-06,-7.0489316,4.50815,-1.3744184,CSNK1D,"casein kinase 1, delta",1453
67,67,13_13_6,0.000834,4.54e-06,-7.0443937,4.50094,-1.8355207,PID1,phosphotyrosine interaction domain containing 1,55022
69,69,32_26_2,0.000881,4.94e-06,-6.992778,4.4187,-1.7114326,PGA3,"pepsinogen 3, group I (pepsinogen A)",643834
71,71,48_16_7,0.00094,5.42e-06,-6.9361042,4.32794,-1.1653244,PRUNE,prune homolog (Drosophila),58497
72,72,11_20_5,0.000948,5.54e-06,-6.9229591,4.30682,-1.7089714,ARHGEF4,Rho guanine nucleotide exchange factor (GEF) 4,50649
74,74,43_30_3,0.000986,6.02e-06,-6.8732101,4.22666,-1.5443551,PEMT,phosphatidylethanolamine N-methyltransferase,10400
75,75,31_27_3,0.000986,6.05e-06,-6.870287,4.22193,-1.3534382,ZNF217,zinc finger protein 217,7764
76,76,51_22_6,0.000986,6.08e-06,-6.8668181,4.21633,-1.4222491,C17orf80,chromosome 17 open reading frame 80,55028
78,78,16_30_6,0.00132,8.36e-06,-6.6760082,3.90527,-1.0276173,PSCD3,"pleckstrin homology, Sec7 and coiled-coil domains 3",9265
79,79,10_17_7,0.00135,8.62e-06,-6.6578303,3.87535,-2.8489387,SLITRK5,"SLIT and NTRK-like family, member 5",26050
81,81,31_29_3,0.00136,9.05e-06,-6.6293761,3.82842,-1.2937025,RTN1,reticulon 1,6252
85,85,27_8_4,0.00149,1.03e-05,-6.5551107,3.70536,-1.3180302,GMEB2,glucocorticoid modulatory element binding protein 2,26205
86,86,14_31_3,0.0015,1.05e-05,-6.5407607,3.68149,-1.3252472,VAMP1,vesicle-associated membrane protein 1 (synaptobrevin 1),6843
91,91,16_31_6,0.00179,1.32e-05,-6.4072246,3.45785,-1.5031189,CDC73,"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",79577
92,92,49_28_3,0.0019,1.42e-05,-6.3652535,3.38701,-1.1805234,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",322
95,95,60_30_5,0.00193,1.5e-05,-6.3334491,3.33316,-1.6805824,KBTBD11,kelch repeat and BTB (POZ) domain containing 11,9920
101,101,32_9_3,0.0021,1.71e-05,-6.2567658,3.20269,-0.9615636,TXNL1,thioredoxin-like 1,9352
102,102,28_13_7,0.0021,1.73e-05,-6.2498553,3.19089,-0.8796062,MAP3K12,mitogen-activated protein kinase kinase kinase 12,7786
103,103,14_8_3,0.00218,1.81e-05,-6.2241981,3.14701,-1.3361019,OCA2,"oculocutaneous albinism II (pink-eye dilution homolog, mouse)",4948
104,104,27_14_7,0.00237,1.99e-05,-6.1702163,3.05438,-0.9384195,ATP5S,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)",27109
106,106,36_19_3,0.0025,2.14e-05,-6.1293998,2.98405,-0.7355772,TSPAN32,tetraspanin 32,10077
107,107,25_30_5,0.00254,2.2e-05,-6.1153949,2.95986,-0.9565809,MCF2L,MCF.2 cell line derived transforming sequence-like,23263
108,108,8_3_4,0.00264,2.32e-05,-6.0841168,2.90574,-1.9606555,STOML1,stomatin (EPB72)-like 1,9399
109,109,43_3_7,0.00264,2.37e-05,-6.0717154,2.88424,-2.3687314,DEPDC6,DEP domain containing 6,64798
110,110,42_7_8,0.00264,2.37e-05,-6.0708569,2.88275,-1.1576226,ZNF559,zinc finger protein 559,84527
111,111,21_8_6,0.00264,2.41e-05,-6.0623621,2.86801,-1.8391694,KIAA1128,KIAA1128,54462
112,112,40_8_4,0.00264,2.43e-05,-6.0582067,2.8608,-0.8955344,RAB7L1,"RAB7, member RAS oncogene family-like 1",8934
114,114,37_20_4,0.00264,2.44e-05,-6.0561504,2.85722,-1.3505161,OSBPL1A,oxysterol binding protein-like 1A,114876
117,117,44_16_4,0.00269,2.54e-05,-6.032753,2.81655,-1.4225688,SLC22A1,"solute carrier family 22 (organic cation transporter), member 1",6580
118,118,28_24_6,0.00273,2.6e-05,-6.0191826,2.79292,-1.1993544,MPP5,"membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)",64398
120,120,49_4_3,0.00283,2.75e-05,-5.988504,2.7394,-0.8612512,SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein",6392
122,122,4_8_6,0.00307,3.07e-05,-5.92614,2.63017,-1.1795528,C19orf53,chromosome 19 open reading frame 53,28974
123,123,47_8_6,0.00307,3.08e-05,-5.925087,2.62832,-1.2775471,SGCB,"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)",6443
124,124,35_12_3,0.00307,3.09e-05,-5.9220463,2.62298,-0.8120651,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",6391
125,125,58_3_4,0.00307,3.1e-05,-5.9215387,2.62209,-1.4452086,OSBPL1A,oxysterol binding protein-like 1A,114876
126,126,16_5_8,0.00312,3.18e-05,-5.9068223,2.59623,-1.182105,C6orf64,chromosome 6 open reading frame 64,55776
127,127,39_8_6,0.00316,3.25e-05,-5.8940815,2.57381,-1.2697495,GLT8D1,glycosyltransferase 8 domain containing 1,55830
129,129,15_13_6,0.00329,3.43e-05,-5.8647537,2.52211,-0.7992324,BTBD1///RPL27,BTB (POZ) domain containing 1///ribosomal protein L27,53339///6155
132,132,36_8_6,0.00348,3.77e-05,-5.8120674,2.42892,-1.111681,EXOC7,exocyst complex component 7,23265
138,138,57_17_1,0.00381,4.27e-05,-5.7433133,2.30672,-1.1547266,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293
141,141,31_19_7,0.00385,4.38e-05,-5.7286365,2.28054,-1.1349122,EPC2///PPP1R3C,"enhancer of polycomb homolog 2 (Drosophila)///protein phosphatase 1, regulatory (inhibitor) subunit 3C",26122///5507
142,142,50_29_6,0.00385,4.46e-05,-5.7187,2.2628,-1.4984556,C6orf98///SYNE1,"chromosome 6 open reading frame 98///spectrin repeat containing, nuclear envelope 1",387079///23345
143,143,10_27_2,0.00385,4.46e-05,-5.7185962,2.26262,-1.5908485,EPB41,"erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)",2035
144,144,43_13_5,0.00385,4.48e-05,-5.7166542,2.25915,-3.5139627,MATN2,matrilin 2,4147
145,145,60_28_7,0.00386,4.57e-05,-5.7050966,2.2385,-2.0849124,BCL2,B-cell CLL/lymphoma 2,596
147,147,7_8_6,0.00386,4.63e-05,-5.6980475,2.22589,-1.116415,ATRN,attractin,8455
148,148,53_12_3,0.00386,4.63e-05,-5.6976165,2.22512,-1.1652475,OLFM1,olfactomedin 1,10439
149,149,29_22_6,0.00386,4.64e-05,-5.6972309,2.22443,-1.3104726,CYP2U1,"cytochrome P450, family 2, subfamily U, polypeptide 1",113612
150,150,1_10_1,0.00387,4.68e-05,-5.6927216,2.21636,-1.2345496,TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",7091
152,152,60_5_6,0.00424,5.19e-05,-5.6349831,2.11279,-1.3209368,LOC643641,hypothetical protein LOC643641,643641
156,156,48_6_6,0.0045,5.66e-05,-5.5883101,2.02873,-1.228182,RCBTB2,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2,1102
157,157,9_29_4,0.00479,6.07e-05,-5.5496386,1.95885,-2.2127065,RORC,RAR-related orphan receptor C,6097
158,158,46_23_5,0.00479,6.1e-05,-5.5470393,1.95415,-1.1876196,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293
159,159,11_20_2,0.00495,6.34e-05,-5.5263828,1.91673,-1.6153225,KIF5C///CACNA1D,"kinesin family member 5C///calcium channel, voltage-dependent, L type, alpha 1D subunit",3800///776
162,162,58_9_5,0.005,6.53e-05,-5.5100368,1.88707,-2.5114251,SCN3B,"sodium channel, voltage-gated, type III, beta",55800
163,163,42_25_1,0.00504,6.63e-05,-5.5022681,1.87297,-1.0897401,SPTBN1,"spectrin, beta, non-erythrocytic 1",6711
164,164,42_5_3,0.00504,6.75e-05,-5.4920431,1.85439,-3.1348075,EPHB1,EPH receptor B1,2047
165,165,22_26_4,0.00504,6.8e-05,-5.4882275,1.84745,-3.3354795,CLCNKA,chloride channel Ka,1187
168,168,10_28_2,0.00504,6.83e-05,-5.4861103,1.8436,-3.1718793,MATN2,matrilin 2,4147
169,169,56_29_2,0.00513,6.98e-05,-5.4739934,1.82156,-1.8210411,S100A12,S100 calcium binding protein A12,6283
172,172,36_26_2,0.00532,7.37e-05,-5.4446745,1.76813,-0.7652125,NFE2L2,nuclear factor (erythroid-derived 2)-like 2,4780
173,173,7_19_5,0.00538,7.5e-05,-5.4354614,1.75132,-1.1664821,STARD13,StAR-related lipid transfer (START) domain containing 13,90627
174,174,18_8_6,0.00547,7.68e-05,-5.4227959,1.72819,-1.4929631,STAT5B,signal transducer and activator of transcription 5B,6777
175,175,19_14_6,0.00561,7.91e-05,-5.4067038,1.69876,-1.7061732,SLC25A42,"solute carrier family 25, member 42",284439
176,176,6_22_1,0.00569,8.07e-05,-5.395704,1.67863,-3.1008214,SOD3,"superoxide dismutase 3, extracellular",6649
177,177,17_28_7,0.00573,8.29e-05,-5.3813164,1.65228,-1.367325,DUSP2,dual specificity phosphatase 2,1844
179,179,34_15_2,0.00573,8.41e-05,-5.3733581,1.63769,-1.4524257,GCSH,glycine cleavage system protein H (aminomethyl carrier),2653
180,180,24_22_5,0.00573,8.43e-05,-5.3722819,1.63571,-1.664376,DGCR12///DGCR2,DiGeorge syndrome critical region gene 12///DiGeorge syndrome critical region gene 2,25784///9993
182,182,29_23_2,0.00573,8.44e-05,-5.3719657,1.63513,-0.8879843,RTN3,reticulon 3,10313
183,183,58_25_3,0.00573,8.44e-05,-5.3715023,1.63428,-0.8266949,SUCLG1,"succinate-CoA ligase, GDP-forming, alpha subunit",8802
184,184,32_21_7,0.00583,8.68e-05,-5.356726,1.60717,-1.2246202,LYN,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog,4067
187,187,20_21_3,0.00598,9.01e-05,-5.3369234,1.57078,-0.9165872,NDUFB10,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa",4716
188,188,19_13_5,0.00599,9.08e-05,-5.3323653,1.5624,-3.2741769,PPARGC1A,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",10891
190,190,36_22_4,0.00602,9.22e-05,-5.3243272,1.54761,-2.5093144,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",126
192,192,45_20_2,0.00618,9.56e-05,-5.3047821,1.51161,-0.7853237,UBE2L3///TAF4,"ubiquitin-conjugating enzyme E2L 3///TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa",7332///6874
196,196,52_27_5,0.00628,9.99e-05,-5.2816555,1.46895,-0.7453151,POT1,POT1 protection of telomeres 1 homolog (S. pombe),25913
198,198,25_8_1,0.00628,0.0001,-5.2801141,1.46611,-1.5085998,ARL4D,ADP-ribosylation factor-like 4D,379
200,200,24_20_3,0.00629,0.000102,-5.2709021,1.44909,-1.3241483,NAP1L2,nucleosome assembly protein 1-like 2,4674
202,202,45_11_8,0.00629,0.000102,-5.2685968,1.44483,-1.0677314,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293
205,205,36_15_6,0.00642,0.000106,-5.2482827,1.40727,-0.859238,C11orf10,chromosome 11 open reading frame 10,746
206,206,18_14_7,0.00642,0.000107,-5.2462121,1.40344,-1.0198724,PRMT3,protein arginine methyltransferase 3,10196
210,210,56_29_7,0.00658,0.000111,-5.2239455,1.3622,-1.0494176,RNASET2,ribonuclease T2,8635
