,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,214565_s_at,0.0029,9.44e-08,-41.5,6.188983,-7.22,SMR3A///SMR3B,submaxillary gland androgen regulated protein 3A///submaxillary gland androgen regulated protein 3B,26952///10879
1,217059_at,0.0029,1.87e-07,-36.4,6.010409,-9.39,MUC7,"mucin 7, secreted",4589
2,206835_at,0.0029,2.21e-07,-35.2,5.961244,-8.71,STATH,statherin,6779
3,237099_at,0.0029,3.01e-07,-33.2,5.863544,-6.17,BPIFA2,BPI fold containing family A member 2,140683
4,204631_at,0.0029,3.99e-07,-31.4,5.766372,-5.76,MYH2,myosin heavy chain 2,4620
5,206639_x_at,0.0029,4.13e-07,-31.2,5.75407,-8.49,HTN1,histatin 1,3346
6,207441_at,0.0029,4.47e-07,-30.7,5.725075,-8.13,SMR3B,submaxillary gland androgen regulated protein 3B,10879
7,205272_s_at,0.0029,4.49e-07,-30.7,5.724058,-6.9,PRH1-PRR4///PRH2///PRH1,PRH1-PRR4 readthrough///proline rich protein HaeIII subfamily 2///proline rich protein HaeIII subfamily 1,100533464///5555///5554
8,206977_at,0.0029,5.15e-07,-29.9,5.672235,-7.0,PTH,parathyroid hormone,5741
9,216557_x_at,0.0029,5.3e-07,-29.7,5.661164,-5.44,IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1,immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 1,28396///3507///3502///3500///3495///3493
10,203872_at,0.0029,6.01e-07,-29.0,5.61236,-7.34,ACTA1,"actin, alpha 1, skeletal muscle",58
11,204606_at,0.0029,6.37e-07,-28.7,5.589097,-5.1,CCL21,C-C motif chemokine ligand 21,6366
12,217281_x_at,0.00365,9.96e-07,-26.3,5.397933,-5.02,LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,uncharacterized LOC102725526///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus,102725526///28396///3507///3502///3501///3500///3494///3493///3492
13,214836_x_at,0.00365,1.05e-06,-26.1,5.375026,-4.98,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant,50802///3514
14,208195_at,0.00365,1.09e-06,-25.8,5.355072,-4.68,TTN,titin,7273
15,229152_at,0.00365,1.11e-06,-25.8,5.350356,-5.2,FDCSP,follicular dendritic cell secreted protein,260436
16,222722_at,0.00365,1.31e-06,-25.0,5.271924,-4.93,OGN,osteoglycin,4969
17,208555_x_at,0.00365,1.46e-06,-24.4,5.21897,-4.52,CST2,cystatin SA,1470
18,214768_x_at,0.00365,1.49e-06,-24.3,5.208179,-4.58,IGKC,immunoglobulin kappa constant,3514
